model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr-en.fr.out.postproc,52.80327018165816,67.97797903543116,86.5358959287405,79.51874260455371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,test.fr-en.fr.footweets.out.postproc,56.70916849191195,70.10626267514594,86.43805137127639,80.36047597974539,300.0,0.4,800.0,52.76162856190408,56.76678382345207,4.005155261547985,1.161196892921262,1.810176129921166,6.348788798349813,4.024881212012907,300.0,0.0,0.0,59.74122431339743,2.913892297347047e-168,0.0,1.0,0.0,True,300.0,0.4,800.0,86.54364440036318,86.4664865244925,-0.07715787587066528,0.4384379818344984,-0.9704872390255365,0.8027872645296188,-0.07757755555212742,132.0,168.0,0.0,-3.0481246321978546,0.00250849994724412,0.88,0.44,0.56,False,300.0,0.4,800.0,79.52872330694149,80.37376393533002,0.845040628388524,0.2677345309554883,0.3196212874725482,1.3739457584917512,0.8484380710870043,300.0,0.0,0.0,54.66808101313578,1.0562268884742323e-157,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.rocsmt.out.postproc,54.60188643355991,68.41644165234202,85.47852101773023,80.17268345952034,300.0,0.4,800.0,52.76162856190408,54.648753984926955,1.8871254230228716,1.191362522325012,-0.3377915421015572,4.12254110281143,1.8571497122008296,287.0,13.0,0.0,27.435789288987113,1.1869149214235501e-83,0.08666666666666667,0.9566666666666667,0.043333333333333335,False,300.0,0.4,800.0,86.54364440036318,85.50191579834868,-1.0417286020144823,0.4621415546704494,-2.0496763688512143,-0.14898275276645873,-1.075398121029142,4.0,296.0,0.0,-39.04273156464879,2.0685279828018278e-119,0.02666666666666667,0.013333333333333334,0.9866666666666667,True,300.0,0.4,800.0,79.52872330694149,80.18723330538721,0.6585099984457096,0.2748568546998524,0.14539721384644713,1.1699631273746454,0.6563747301697676,298.0,2.0,0.0,41.4969739738015,4.255724852017166e-126,0.013333333333333334,0.9933333333333333,0.006666666666666667,True
google/gemma-2-9b-it,test.fr-en.fr.mmtc.out.postproc,56.58790117942605,70.04974067477083,86.59287812709809,80.47581919431687,300.0,0.4,800.0,52.76162856190408,56.600868017442785,3.8392394555386926,1.173471863536244,1.6031519059973574,6.1323945979970285,3.807689228240548,300.0,0.0,0.0,56.66738169057689,5.872377237367373e-162,0.0,1.0,0.0,True,300.0,0.4,800.0,86.54364440036318,86.60483879391104,0.06119439354787238,0.431210478933206,-0.7506054565310468,0.8718371747061592,0.059349976480005395,162.0,138.0,0.0,2.4580061000720264,0.014538214148569577,0.92,0.54,0.46,False,300.0,0.4,800.0,79.52872330694149,80.4848823606968,0.956159053755303,0.26741090096757114,0.43363766288384814,1.4497052514925663,0.9524080250412181,300.0,0.0,0.0,61.93150897098256,1.3719830686057823e-172,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.pfsmb.out.postproc,54.481532208259,68.73794762582527,86.2412164285779,80.14270421117544,300.0,0.4,800.0,52.76162856190408,54.52013832387963,1.7585097619755383,1.1978845899428492,-0.6052911461822458,4.176021572659868,1.8014664741353208,283.0,17.0,0.0,25.426725403428062,9.903837347113012e-77,0.11333333333333333,0.9433333333333334,0.056666666666666664,False,300.0,0.4,800.0,86.54364440036318,86.25921277956417,-0.28443162079900514,0.43620823742683035,-1.123137069400398,0.5885476976633027,-0.3031525164842619,82.0,218.0,0.0,-11.293918276490105,7.15327989185911e-25,0.5466666666666666,0.2733333333333333,0.7266666666666667,False,300.0,0.4,800.0,79.52872330694149,80.14741730994234,0.6186940030008552,0.2727876597820244,0.07997150216251497,1.1502240858040735,0.6186962053179756,297.0,3.0,0.0,39.28364825564105,4.433398972266266e-120,0.02,0.99,0.01,True
google/gemma-2-9b-it,test.fr-en.fr.default.out.postproc,40.45993752735281,56.70793698353221,77.78047895133496,77.64547811597585,300.0,0.4,800.0,52.76162856190408,40.473427011618305,-12.288201550285784,1.271452707729956,-14.681093431804085,-9.844232568415137,-12.23778706255115,0.0,300.0,0.0,-167.39741312708026,1.5448389934993203e-297,0.0,0.0,1.0,True,300.0,0.4,800.0,86.54364440036318,77.77994677249342,-8.763697627869746,0.5160411028626454,-9.695294695161284,-7.6814675061963555,-8.759684294462206,0.0,300.0,0.0,-294.1465218455958,0.0,0.0,0.0,1.0,True,300.0,0.4,800.0,79.52872330694149,77.65113552521913,-1.8775877817223472,0.3028895864634838,-2.496768588386475,-1.3145082965493144,-1.866841377690437,0.0,300.0,0.0,-107.3684134071647,7.717654934641793e-241,0.0,0.0,1.0,True
ibm-granite/granite-4.1-8b,test.fr-en.fr.footweets.out.postproc,53.89549033161651,69.54930619791905,86.43960930407047,80.29514940530062,300.0,0.4,800.0,52.76162856190408,53.84261937204941,1.0809908101453276,1.1149440492341112,-0.7400745650599017,3.4621612187607855,1.0606581637958072,246.0,54.0,0.0,16.79304900522058,4.8637439203372296e-45,0.36,0.82,0.18,False,300.0,0.4,800.0,86.54364440036318,86.41749179519712,-0.1261526051660381,0.3375651061518558,-0.7576989007182435,0.542381575703617,-0.11999543011188551,109.0,191.0,0.0,-6.472906046054986,3.931810704323181e-10,0.7266666666666667,0.36333333333333334,0.6366666666666667,False,300.0,0.4,800.0,79.52872330694149,80.30202483665198,0.7733015297104912,0.24752997648529984,0.3605616380460566,1.2737289797514686,0.7726664263755068,300.0,0.0,0.0,54.11051857425632,1.710596454427682e-156,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,test.fr-en.fr.rocsmt.out.postproc,51.581034484237854,67.18495478956989,84.76965841799975,79.78043948113918,300.0,0.4,800.0,52.76162856190408,51.439828798182134,-1.321799763721951,1.1640488440177026,-3.4568673464857946,1.078250296693159,-1.3619203255944683,34.0,266.0,0.0,-19.667768753560477,7.69666359304313e-56,0.22666666666666666,0.11333333333333333,0.8866666666666667,False,300.0,0.4,800.0,86.54364440036318,84.7509058968102,-1.7927385035529735,0.39209155432746334,-2.642320849187673,-1.051254608202723,-1.7956991661340016,0.0,300.0,0.0,-79.19360002958514,1.133487957411397e-202,0.0,0.0,1.0,True,300.0,0.4,800.0,79.52872330694149,79.79035162902126,0.26162832207977765,0.26480264849547724,-0.20695266956463368,0.773453365638857,0.25041565299033786,248.0,52.0,0.0,17.112878179876247,3.0352767928099565e-46,0.3466666666666667,0.8266666666666667,0.17333333333333334,False
ibm-granite/granite-4.1-8b,test.fr-en.fr.mmtc.out.postproc,55.352595960092415,71.50164585049961,87.77017650306225,80.72797645926475,300.0,0.4,800.0,52.76162856190408,55.305297963587584,2.5436694016834918,1.1556199128121933,0.5827487606311301,5.202617372681117,2.4699245330666635,296.0,4.0,0.0,38.124686088635634,7.768591992580589e-117,0.02666666666666667,0.9866666666666667,0.013333333333333334,True,300.0,0.4,800.0,86.54364440036318,87.75216928156715,1.208524881203969,0.2955901630888445,0.6687343093566565,1.8293314113281631,1.1925154384225645,300.0,0.0,0.0,70.81516091681516,6.936724106315477e-189,0.0,1.0,0.0,True,300.0,0.4,800.0,79.52872330694149,80.7282590371867,1.1995357302452123,0.2484660998641951,0.7684367218986151,1.7177723704837309,1.1811453551053952,300.0,0.0,0.0,83.61932800549187,1.982594208803812e-209,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,test.fr-en.fr.pfsmb.out.postproc,55.3657564878021,71.49676670478337,87.99323799163103,80.75758520364761,300.0,0.4,800.0,52.76162856190408,55.322311553755135,2.5606829918510523,1.1661479964112345,0.5921881431204087,4.968071300977645,2.467092529204173,297.0,3.0,0.0,38.03319182138738,1.409897374258366e-116,0.02,0.99,0.01,True,300.0,0.4,800.0,86.54364440036318,87.96860937982797,1.424964979464809,0.3020325629228962,0.8672183323651568,2.0691929339431203,1.4207226019352759,300.0,0.0,0.0,81.71674337211971,1.448892366315017e-206,0.0,1.0,0.0,True,300.0,0.4,800.0,79.52872330694149,80.76010015474012,1.2313768477986253,0.2524612890517866,0.7848528956063096,1.7048964425921471,1.2246807236224455,300.0,0.0,0.0,84.48056617558233,1.0483210761058127e-210,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,test.fr-en.fr.default.out.postproc,39.890581193649034,56.80151635064341,77.55861078202724,77.6648498058319,300.0,0.4,800.0,52.76162856190408,39.876831846460675,-12.884796715443407,1.2484753296992643,-15.220291531531252,-10.454367372340844,-12.86423080937892,0.0,300.0,0.0,-178.75501442003159,5.6060713972800456e-306,0.0,0.0,1.0,True,300.0,0.4,800.0,86.54364440036318,77.53648525415609,-9.007159146207073,0.5272788853302832,-9.960928393714125,-7.995742012560365,-9.007530458271502,0.0,300.0,0.0,-295.87487204834895,0.0,0.0,0.0,1.0,True,300.0,0.4,800.0,79.52872330694149,77.68100409785906,-1.8477192090824248,0.28010225851468945,-2.3868511466309443,-1.2902617216110162,-1.8428883086890002,0.0,300.0,0.0,-114.25625645513688,1.011666943667226e-248,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.footweets.out.postproc,50.7041685393666,66.4648308987624,84.05107556432485,77.75927189588546,300.0,0.4,800.0,52.76162856190408,50.75155158621658,-2.010076975687513,1.2685875859386713,-4.209570051203671,0.6310479891023971,-2.071578337743855,18.0,282.0,0.0,-27.44434430547452,1.1102065685104736e-83,0.12,0.06,0.94,False,300.0,0.4,800.0,86.54364440036318,84.06675961989909,-2.4768847804640735,0.6305730055331638,-3.6793005043640776,-1.2015453409403507,-2.471740650013088,0.0,300.0,0.0,-68.03479131858,5.486987112922641e-184,0.0,0.0,1.0,True,300.0,0.4,800.0,79.52872330694149,77.77098135667543,-1.7577419502660632,0.5095682250945709,-2.7195348226465335,-0.7483215603046152,-1.7524042222648861,0.0,300.0,0.0,-59.746628901183925,2.8420487414708523e-168,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.rocsmt.out.postproc,46.15072816182343,62.56190944329288,81.25449932813645,76.88780480027198,300.0,0.4,800.0,52.76162856190408,46.18121414991484,-6.5804144119892465,1.269596334246468,-8.719518821323298,-3.9351530852672094,-6.571017105948041,0.0,300.0,0.0,-89.77351138295919,2.678773021714667e-218,0.0,0.0,1.0,True,300.0,0.4,800.0,86.54364440036318,81.25109265259157,-5.2925517477716015,0.6456576864031845,-6.5888526576571165,-4.025344667583711,-5.276234347373249,0.0,300.0,0.0,-141.97877175280016,2.036944060482744e-276,0.0,0.0,1.0,True,300.0,0.4,800.0,79.52872330694149,76.89653131267676,-2.632191994264722,0.4924698750895272,-3.541577650234104,-1.6918809548020366,-2.6142504587769566,0.0,300.0,0.0,-92.57602342709264,3.752977918489493e-222,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.mmtc.out.postproc,49.934595860846095,65.59174401777985,82.7232359573245,76.45886284857988,300.0,0.4,800.0,52.76162856190408,49.980006166052355,-2.781622395851731,1.2352518537976793,-4.9404524827658385,-0.4442707663046266,-2.798200989475891,2.0,298.0,0.0,-39.003473682507725,2.6602813412134163e-119,0.013333333333333334,0.006666666666666667,0.9933333333333333,True,300.0,0.4,800.0,86.54364440036318,82.74648441509653,-3.7971599852666267,0.7523406247790774,-5.217186103388668,-2.2475505852140456,-3.789709493517879,0.0,300.0,0.0,-87.41883400063057,5.663569410312314e-215,0.0,0.0,1.0,True,300.0,0.4,800.0,79.52872330694149,76.48058720476925,-3.0481361021722364,0.6637531420694665,-4.239819166995589,-1.7247580253519172,-3.0570333786308748,0.0,300.0,0.0,-79.54051382546574,3.254311168854259e-203,0.0,0.0,1.0,True
