model,file,bleu,chrf2,comet,cometkiwi,lines,urls,usernames,hashtags,urls_per_line,usernames_per_line,hashtags_per_line
facebook/nllb-200-3.3B,test.fr-en.fr.out.postproc,52.80327018165816,67.97797903543116,86.5358959287405,79.51874260455371,2000,2,1823,37,0.001,0.9115,0.0185
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.mmtc.out.postproc,49.934595860846095,65.59174401777985,82.7232359573245,76.45886284857988,2000,1,1525,40,0.0005,0.7625,0.02
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.pfsmb.out.postproc,49.305595806563026,65.0969724378321,83.37901541143655,77.14970549196005,2000,1,1535,39,0.0005,0.7675,0.0195
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.default.out.postproc,38.64050313619716,55.63987822670696,77.0113385617733,76.08415336608887,2000,1,547,33,0.0005,0.2735,0.0165
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.footweets.out.postproc,50.7041685393666,66.4648308987624,84.05107556432485,77.75927189588546,2000,1,1537,39,0.0005,0.7685,0.0195
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.rocsmt.out.postproc,46.15072816182343,62.56190944329288,81.25449932813645,76.88780480027198,2000,1,1224,36,0.0005,0.612,0.018
google/gemma-2-9b-it,test.fr-en.fr.mmtc.out.postproc,56.58790117942605,70.04974067477083,86.59287812709809,80.47581919431687,2000,2,1364,40,0.001,0.682,0.02
google/gemma-2-9b-it,test.fr-en.fr.pfsmb.out.postproc,54.481532208259,68.73794762582527,86.2412164285779,80.14270421117544,2000,2,1339,40,0.001,0.6695,0.02
google/gemma-2-9b-it,test.fr-en.fr.default.out.postproc,40.45993752735281,56.70793698353221,77.78047895133496,77.64547811597585,2000,1,224,24,0.0005,0.112,0.012
google/gemma-2-9b-it,test.fr-en.fr.footweets.out.postproc,56.70916849191195,70.10626267514594,86.43805137127639,80.36047597974539,2000,2,1319,38,0.001,0.6595,0.019
google/gemma-2-9b-it,test.fr-en.fr.rocsmt.out.postproc,54.60188643355991,68.41644165234202,85.47852101773023,80.17268345952034,2000,2,1208,38,0.001,0.604,0.019
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.mmtc.out.postproc,60.184743601985666,73.54349166972669,88.93772005587817,80.94230995178224,2000,2,1752,40,0.001,0.876,0.02
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.pfsmb.out.postproc,59.84680399149648,73.28037430435391,88.85974216610192,80.92008515447378,2000,2,1752,40,0.001,0.876,0.02
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.default.out.postproc,59.781906253925,73.36807478136791,88.94373089969159,81.04234959483146,2000,2,1752,40,0.001,0.876,0.02
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.footweets.out.postproc,60.08229761443528,73.45378420288917,88.9209145128727,80.88299957513809,2000,2,1752,40,0.001,0.876,0.02
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.rocsmt.out.postproc,59.99821223382474,73.39147492380425,88.87001768052578,80.93364860117435,2000,2,1752,40,0.001,0.876,0.02
