model,file,bleu,chrf2,comet,cometkiwi,lines,urls,usernames,hashtags,urls_per_line,usernames_per_line,hashtags_per_line
facebook/nllb-200-3.3B,test.fr.out.postproc,37.064594406515354,52.997043432948324,73.16792193258438,69.82670234590577,777,33,64,148,0.04247104247104247,0.08236808236808237,0.19047619047619047
meta-llama/Llama-3.1-8B-Instruct,test.fr.footweets.out.postproc,41.8455574735884,56.23732697496244,74.36161952205913,69.9872206690382,777,50,67,152,0.06435006435006435,0.08622908622908623,0.1956241956241956
meta-llama/Llama-3.1-8B-Instruct,test.fr.pfsmb.out.postproc,41.33646049503035,55.772334587617735,73.06592676361862,68.44739701066699,777,50,68,142,0.06435006435006435,0.08751608751608751,0.18275418275418276
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,39.16743928278638,55.0216253924144,73.63645967906352,70.08054294794836,777,39,53,114,0.05019305019305019,0.0682110682110682,0.14671814671814673
meta-llama/Llama-3.1-8B-Instruct,test.fr.rocsmt.out.postproc,40.57751629631839,55.59384315431779,74.14379979230876,70.31577932174909,777,50,65,147,0.06435006435006435,0.08365508365508366,0.1891891891891892
meta-llama/Llama-3.1-8B-Instruct,test.fr.mmtc.out.postproc,40.66679354223255,54.91641334248251,71.78669499767946,67.49556933168893,777,49,64,147,0.06306306306306306,0.08236808236808237,0.1891891891891892
google/gemma-2-9b-it,test.fr.footweets.out.postproc,45.000279960296496,62.143789100703515,80.50064597580884,75.09743011672832,777,50,65,162,0.06435006435006435,0.08365508365508366,0.2084942084942085
google/gemma-2-9b-it,test.fr.pfsmb.out.postproc,46.09177323931512,62.31016236600483,80.51182103356493,74.95348619985151,777,50,65,165,0.06435006435006435,0.08365508365508366,0.21235521235521235
google/gemma-2-9b-it,test.fr.default.out.postproc,42.969244001744336,59.672358265258154,78.87994987240477,75.16540057640738,777,25,42,140,0.032175032175032175,0.05405405405405406,0.18018018018018017
google/gemma-2-9b-it,test.fr.rocsmt.out.postproc,43.86705697520098,61.37323038879645,80.29063241975801,75.47846346364825,777,50,65,159,0.06435006435006435,0.08365508365508366,0.20463320463320464
google/gemma-2-9b-it,test.fr.mmtc.out.postproc,45.2419249303123,62.22945204419993,80.63992809988511,75.23870255265918,777,50,66,165,0.06435006435006435,0.08494208494208494,0.21235521235521235
Unbabel/TowerInstruct-7B-v0.2,test.fr.footweets.out.postproc,46.09044163619438,61.43951187477823,79.31781857246905,74.29891711956745,777,52,69,168,0.06692406692406692,0.0888030888030888,0.21621621621621623
Unbabel/TowerInstruct-7B-v0.2,test.fr.pfsmb.out.postproc,45.8035120683846,61.0923839618908,79.04328433089582,74.20611339723128,777,52,69,168,0.06692406692406692,0.0888030888030888,0.21621621621621623
Unbabel/TowerInstruct-7B-v0.2,test.fr.default.out.postproc,45.58762669528654,61.06929823185585,79.05335896954114,74.36879613991717,777,52,69,166,0.06692406692406692,0.0888030888030888,0.21364221364221364
Unbabel/TowerInstruct-7B-v0.2,test.fr.rocsmt.out.postproc,46.01199552585084,61.327016640998686,79.18211056382192,74.2315927028963,777,52,69,168,0.06692406692406692,0.0888030888030888,0.21621621621621623
Unbabel/TowerInstruct-7B-v0.2,test.fr.mmtc.out.postproc,45.69034216834185,61.198287137573146,79.02635778162623,74.12837478338214,777,52,69,168,0.06692406692406692,0.0888030888030888,0.21621621621621623
