model,file,bleu,chrf2,comet,cometkiwi,lines,urls,usernames,hashtags,urls_per_line,usernames_per_line,hashtags_per_line
facebook/nllb-200-3.3B,raw.en.test.out.postproc,21.33208553424466,43.82509062573216,73.21388013312026,75.52096357144625,1922,0,0,1,0.0,0.0,0.0005202913631633715
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.mmtc.out.postproc,19.13567037018927,41.18001700466244,70.9359676250558,72.59694159216986,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.pfsmb.out.postproc,19.399627206779137,41.39996746571272,71.04172828635366,73.10437375018674,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.footweets.out.postproc,19.34585815161361,41.3824323604366,71.26896351916982,73.09180114662486,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.rocsmt.out.postproc,19.869944833361583,41.978027444722834,71.90082289984025,73.51554172282164,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.default.out.postproc,20.041555514825276,42.554990039265284,73.48551298496503,75.41643256761529,1922,0,0,1,0.0,0.0,0.0005202913631633715
google/gemma-2-9b-it,raw.en.test.mmtc.out.postproc,22.301798614835203,45.275285666652856,75.67429160243762,77.55208015907071,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
google/gemma-2-9b-it,raw.en.test.pfsmb.out.postproc,21.137995160626993,44.13194821559857,74.53978589263964,77.0590646287405,1922,0,0,1,0.0,0.0,0.0005202913631633715
google/gemma-2-9b-it,raw.en.test.footweets.out.postproc,22.089077056654045,45.0620043980629,75.50545824026838,77.4892653591551,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
google/gemma-2-9b-it,raw.en.test.rocsmt.out.postproc,23.125372847790885,45.981274789767205,76.56502287823254,77.94409084611578,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
google/gemma-2-9b-it,raw.en.test.default.out.postproc,23.37001307254992,45.90571643427695,76.3618159182486,77.89261541896259,1922,0,0,1,0.0,0.0,0.0005202913631633715
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.mmtc.out.postproc,21.610249603332715,44.24633848171059,75.31426930480272,77.8999822150284,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.pfsmb.out.postproc,21.615626012696826,44.295201825427974,75.25739601186238,77.88764030423546,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.footweets.out.postproc,21.634853957922807,44.23578431541012,75.35003174743717,77.87630818823001,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.rocsmt.out.postproc,21.687322377179772,44.24899984645441,75.42094128762646,77.91664910645191,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.default.out.postproc,21.89585741099849,44.44910333329376,75.32954213212358,78.15535201862625,1922,0,1,1,0.0,0.0005202913631633715,0.0005202913631633715
