model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,detok.twitter.sent.en.txt.out.postproc,40.99755882657292,57.564360004689654,80.00443030518107,76.7684529101207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.mmtc.out.postproc,42.001451401213046,56.60900501084004,83.03965038432615,77.81270879101821,300.0,0.4,1412.0,40.87616345306953,41.97961354700411,1.1034500939345735,0.4495809190865618,0.2598432978026043,1.9321264675362344,1.1094424780297452,297.0,3.0,0.0,42.51140440289338,8.826718237469771e-129,0.02,0.99,0.01,True,300.0,0.4,1412.0,82.59671861215428,83.0689409550304,0.4722223428761316,0.2516039203002716,-0.022512531520073042,0.9926791210255184,0.47559109133887834,290.0,10.0,0.0,32.50796288684808,3.703242283091705e-100,0.06666666666666667,0.9666666666666667,0.03333333333333333,False,300.0,0.4,1412.0,78.3505571636884,77.83060534723364,-0.5199518164547684,0.2011846458094436,-0.8988273401267108,-0.15337533452060403,-0.5065023223671583,2.0,298.0,0.0,-44.76400074985806,1.4087055599335645e-134,0.013333333333333334,0.006666666666666667,0.9933333333333333,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.default.out.postproc,40.86753239455551,56.10306705788369,82.57511974056449,78.33388441851726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.rocsmt.out.postproc,42.34664296971411,57.91616508629721,82.96096304151898,77.6775277353211,300.0,0.4,1412.0,40.87616345306953,42.37313859364915,1.496975140579618,0.41625066432013236,0.6289266711455778,2.214995381579422,1.4911741372307894,300.0,0.0,0.0,62.29027899298071,2.76088460819247e-173,0.0,1.0,0.0,True,300.0,0.4,1412.0,82.59671861215428,83.01065802849244,0.4139394163381843,0.2635712845780913,-0.0817577510533901,0.9052922356894857,0.4009919098602155,283.0,17.0,0.0,27.201904847138934,7.399426055067545e-83,0.11333333333333333,0.9433333333333334,0.056666666666666664,False,300.0,0.4,1412.0,78.3505571636884,77.70399331274011,-0.6465638509482793,0.20263428256001706,-1.0606211455005916,-0.24774167027123561,-0.6438499374615936,0.0,300.0,0.0,-55.26613887993604,5.466446248343175e-159,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.footweets.out.postproc,43.182435744600596,58.46812283621734,83.30541953486694,77.44183795394707,300.0,0.4,1412.0,40.87616345306953,43.17745850732555,2.3012950542560127,0.43454760393822817,1.433107578333867,3.117630249726686,2.3155867963389944,300.0,0.0,0.0,91.72665827758198,5.378769038935375e-221,0.0,1.0,0.0,True,300.0,0.4,1412.0,82.59671861215428,83.3354118186787,0.7386932065244327,0.27163547664495014,0.21894368503992148,1.2534763256652517,0.7285903933492321,300.0,0.0,0.0,47.10188008978808,2.273317678276281e-140,0.0,1.0,0.0,True,300.0,0.4,1412.0,78.3505571636884,77.45860537470118,-0.8919517889872152,0.20673099642351903,-1.286026222140608,-0.4979238795807753,-0.8830512084974429,0.0,300.0,0.0,-74.73024573745306,1.6829713682915536e-195,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.pfsmb.out.postproc,43.48034936882388,58.700010099580716,83.62601987447684,77.64520683386507,300.0,0.4,1412.0,40.87616345306953,43.47999199719931,2.6038285441297777,0.39623471882229294,1.8043098469119445,3.347505974223513,2.6490231197898986,300.0,0.0,0.0,113.82049876991084,3.0911139904443433e-248,0.0,1.0,0.0,True,300.0,0.4,1412.0,82.59671861215428,83.65354504790842,1.0568264357541617,0.26355012803299654,0.49401362102066804,1.5486046663424835,1.066077132274007,300.0,0.0,0.0,69.45460794004842,1.64584910717888e-186,0.0,1.0,0.0,True,300.0,0.4,1412.0,78.3505571636884,77.65627367464549,-0.6942834890429086,0.20100660434861892,-1.075904783040874,-0.26885342844906435,-0.6907043836103244,0.0,300.0,0.0,-59.825610296509154,1.9737131044116494e-168,0.0,0.0,1.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.mmtc.out.postproc,46.68495766266669,58.98022943420391,84.84262178876246,80.07671095663022,300.0,0.4,1412.0,43.05261735613249,46.70331799991083,3.6507006437783427,0.3728091355348496,2.9305427141503477,4.3535411865817135,3.6451606263657617,300.0,0.0,0.0,169.6095507202885,3.1755850487299844e-299,0.0,1.0,0.0,True,300.0,0.4,1412.0,82.73675948503138,84.87233704942734,2.1355775643959714,0.23166381983237536,1.7076228693570865,2.598757927356126,2.126892519951201,300.0,0.0,0.0,159.6679553896006,1.8194234073518897e-291,0.0,1.0,0.0,True,300.0,0.4,1412.0,79.50529235462825,80.07847621621139,0.573183861583106,0.18302254634462597,0.2478256635367876,0.9379299302656694,0.5762799381787698,300.0,0.0,0.0,54.24378526955278,8.773254756957259e-157,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.default.out.postproc,43.03832074050434,56.54072172186417,82.70400112901126,79.50250821731584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,detok.twitter.sent.en.txt.rocsmt.out.postproc,45.42830117619027,58.88638585009509,84.5440242758216,80.13292724704607,300.0,0.4,1412.0,43.05261735613249,45.44616318775684,2.393545831624345,0.34350086043517586,1.7068048806247158,2.9991906414187484,2.391594751323492,300.0,0.0,0.0,120.69090555889407,1.0990689152331927e-255,0.0,1.0,0.0,True,300.0,0.4,1412.0,82.73675948503138,84.58257492598607,1.845815440954692,0.22297250776760974,1.4293001529367555,2.2901143141027607,1.8444752072646287,300.0,0.0,0.0,143.38297385347428,1.1205729119786148e-277,0.0,1.0,0.0,True,300.0,0.4,1412.0,79.50529235462825,80.14633301423197,0.6410406596036994,0.17449175834505032,0.33030765880395524,0.9785276766412662,0.6481325332993448,300.0,0.0,0.0,63.63137162933912,7.385636549278344e-176,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.footweets.out.postproc,47.295004191266194,60.538523322158255,85.22710760237476,79.85598454563205,300.0,0.4,1412.0,43.05261735613249,47.32252708595143,4.269909729818945,0.3613889925109098,3.6347057026529743,4.959337151920387,4.261271540444191,300.0,0.0,0.0,204.64653736114678,2e-323,0.0,1.0,0.0,True,300.0,0.4,1412.0,82.73675948503138,85.26395565033577,2.5271961653044026,0.22637403806353615,2.1038476386695875,2.9810476565876036,2.527846102589587,300.0,0.0,0.0,193.36281653340066,4.32147383e-316,0.0,1.0,0.0,True,300.0,0.4,1412.0,79.50529235462825,79.86136710426372,0.35607474963545743,0.1796254734560367,0.04218071720248074,0.7397646502863466,0.3534279457654943,295.0,5.0,0.0,34.334749175312645,9.214403068930057e-106,0.03333333333333333,0.9833333333333333,0.016666666666666666,True
