model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr-en.fr.out.postproc,53.233659930939254,68.08183499019135,86.6590659074352,79.72444253890421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.mmtc.out.postproc,51.33756822770681,67.44248399966483,86.33465876432624,79.81897384931112,300.0,0.4,761.0,39.4152030238711,51.37674396816453,11.961540944293432,0.9889786833756119,10.022596124809787,13.897441754314963,11.888165860089579,300.0,0.0,0.0,209.48880901675594,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.88603069749101,86.35314339524656,8.467112697755566,0.49926142077181224,7.491265418260077,9.43760275870131,8.49875258710162,300.0,0.0,0.0,293.74329310790233,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,76.76346684427727,79.82836897030924,3.06490212603196,0.25058451733051845,2.6223565033011655,3.5416144936415295,3.056129353040149,300.0,0.0,0.0,211.84733434712885,0.0,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.pfsmb.out.postproc,50.4705293197736,66.56996240979133,86.06755058942157,79.58569408215183,300.0,0.4,761.0,39.4152030238711,50.47418209253485,11.058979068663755,1.075036131607367,9.033927979056601,13.074553512545855,11.042972657807216,300.0,0.0,0.0,178.17739389025667,1.462333595065361e-305,0.0,1.0,0.0,True,300.0,0.4,761.0,77.88603069749101,86.07341187369964,8.187381176208646,0.5167742500304362,7.161731813274293,9.089050506206126,8.246770364069594,300.0,0.0,0.0,274.41305709971425,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,76.76346684427727,79.58444590808476,2.8209790638074828,0.27298659173766043,2.274989437962957,3.291161873141667,2.8202540966903666,300.0,0.0,0.0,178.98604596295186,3.8237116024901745e-306,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.rocsmt.out.postproc,47.309122498278114,63.975303156855,83.54298719346961,78.93473119421085,300.0,0.4,761.0,39.4152030238711,47.35834360864202,7.943140584770925,0.951760375931865,6.320228030809616,9.785198911155842,7.905047010148149,300.0,0.0,0.0,144.55238327205282,1.0223890213256364e-278,0.0,1.0,0.0,True,300.0,0.4,761.0,77.88603069749101,83.56575687886904,5.679726181378031,0.45733578126339774,4.806215245761317,6.480767547438079,5.697629065222248,300.0,0.0,0.0,215.10615880632503,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,76.76346684427727,78.93178399407805,2.168317149800791,0.2327319397798664,1.719874659952135,2.5823253120017915,2.1568423521346416,300.0,0.0,0.0,161.37172551091356,7.895842741524711e-293,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.footweets.out.postproc,51.67085720384783,67.61442259339601,86.17340214589667,79.67003822389336,300.0,0.4,761.0,39.4152030238711,51.683312496683634,12.268109472812538,0.9956236010845787,10.400620601566812,14.241308201444232,12.246281775198085,300.0,0.0,0.0,213.42391739790867,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.88603069749101,86.18259131023355,8.296560612742544,0.5000081728387558,7.341334059951967,9.24456293103572,8.306708667579048,300.0,0.0,0.0,287.3965924948784,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,76.76346684427727,79.67226193523491,2.9087950909576348,0.2582683753720252,2.4430715113525823,3.3854113597515836,2.9006453267691468,300.0,0.0,0.0,195.07540863600744,3.159135e-317,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.default.out.postproc,39.326858007757096,56.34851254815953,77.85616236436255,76.75019491044756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,test.fr-en.fr.mmtc.out.postproc,56.57358559556233,70.04317236761925,86.57027293078907,80.60494741712834,300.0,0.4,761.0,40.751651866000806,56.5585854836418,15.806933617641008,0.8793506464046668,14.139411145963182,17.506897104468678,15.811485177366766,300.0,0.0,0.0,311.34806404660924,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.98460622595894,86.55390984404782,8.569303618088869,0.4298627309349328,7.730222821783922,9.447129785662103,8.582596641410822,300.0,0.0,0.0,345.2839286562945,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.90366600914008,80.62170317231227,2.7180371631721734,0.17726044065048482,2.405131827751069,3.132084998229956,2.719189024942781,300.0,0.0,0.0,265.5853977457495,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.pfsmb.out.postproc,54.46959338406865,68.7414745140299,86.21645394152522,80.27824262151206,300.0,0.4,761.0,40.751651866000806,54.451580055391204,13.699928189390397,0.9340053548619219,11.997737194999763,15.47970240364857,13.689476527087528,300.0,0.0,0.0,254.0560561087706,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.98460622595894,86.19306696679212,8.208460740833182,0.43357354106350976,7.360968047388276,9.088166497070112,8.207055710931643,300.0,0.0,0.0,327.91371494172813,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.90366600914008,80.28180247714944,2.3781364680093677,0.18677514935443332,2.02939857800984,2.76014351539324,2.376070203511688,300.0,0.0,0.0,220.53539799923348,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.rocsmt.out.postproc,54.57147413302072,68.37886181996386,85.40317682719757,80.29377242681481,300.0,0.4,761.0,40.751651866000806,54.502045564224986,13.750393698224183,0.8007496187600878,12.089810592595766,15.21219340271203,13.773574664918534,300.0,0.0,0.0,297.42606117349663,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.98460622595894,85.36859262725841,7.3839864012994525,0.4012822556301052,6.575824114911343,8.13005710253187,7.392289653009248,300.0,0.0,0.0,318.714307199205,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.90366600914008,80.30332187444715,2.3996558653070803,0.16451628183785283,2.1057072866331166,2.709204651190162,2.3909643527399327,300.0,0.0,0.0,252.63918154246852,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.footweets.out.postproc,56.73278476367177,70.12939461367078,86.4220854094728,80.49993995894394,300.0,0.4,761.0,40.751651866000806,56.68967011964747,15.938018253646666,0.8078037909994871,14.470624822068752,17.448789485143234,15.936877587182543,300.0,0.0,0.0,341.73468476943236,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.98460622595894,86.38806594684361,8.403459720884662,0.41308737414119684,7.6261857280240815,9.25941943319492,8.439459302187286,300.0,0.0,0.0,352.352071427768,0.0,0.0,1.0,0.0,True,300.0,0.4,761.0,77.90366600914008,80.51146981633133,2.6078038071912477,0.18663935071343207,2.272992201550882,3.026227801744473,2.5894202517147304,300.0,0.0,0.0,242.00945154176026,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.default.out.postproc,40.782355908722934,56.9579155604932,78.01896138146095,77.90190756132927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.mmtc.out.postproc,60.194730638214715,73.58572192952553,88.99355765929609,81.05775669890875,300.0,0.4,761.0,59.73007275339548,60.18597899436791,0.45590624097240845,0.4241061704523437,-0.3282466073056268,1.231524528948233,0.4485081641423321,260.0,40.0,0.0,18.61922386108465,6.505118224303726e-52,0.26666666666666666,0.8666666666666667,0.13333333333333333,False,300.0,0.4,761.0,89.00892321193005,89.00618883480485,-0.0027343771251937543,0.1056846075527498,-0.19741810339352237,0.1900527552847213,-0.0016776553591335563,148.0,152.0,0.0,-0.4481333864560942,0.6543814767600282,0.9866666666666667,0.49333333333333335,0.5066666666666667,False,300.0,0.4,761.0,81.18050307783442,81.07856322967896,-0.10193984815544888,0.10958453460987291,-0.3058183960783023,0.10860462157782906,-0.10589494145966105,62.0,238.0,0.0,-16.11221847587118,1.7755314391421203e-42,0.41333333333333333,0.20666666666666667,0.7933333333333333,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.pfsmb.out.postproc,59.8386249733306,73.30947926717793,88.91196012434273,81.03889192285096,300.0,0.4,761.0,59.73007275339548,59.81831502869502,0.08824227529954262,0.4071277248429438,-0.7442071394636304,0.9309559887075824,0.07104287884000016,175.0,125.0,0.0,3.7541070005303268,0.0002090058435536162,0.8333333333333334,0.5833333333333334,0.4166666666666667,False,300.0,0.4,761.0,89.00892321193005,88.92180968627198,-0.08711352565807565,0.11567657904451975,-0.30238825881685166,0.12258702896427634,-0.0850671752993637,66.0,234.0,0.0,-13.043699399873487,4.313989938561659e-31,0.44,0.22,0.78,False,300.0,0.4,761.0,81.18050307783442,81.05975978885154,-0.12074328898286969,0.10835223654747017,-0.3336345201722857,0.07750755158814676,-0.11891451090299543,48.0,252.0,0.0,-19.301263901431174,1.8040704512556555e-54,0.32,0.16,0.84,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.rocsmt.out.postproc,59.995206994619565,73.43052395893913,88.92862590266827,81.0518460083835,300.0,0.4,761.0,59.73007275339548,60.00228722121994,0.2722144678244465,0.4281304807390149,-0.5346300139803155,1.0005317443043205,0.27240933532674205,233.0,67.0,0.0,11.012747515977052,6.665570666199742e-24,0.44666666666666666,0.7766666666666666,0.22333333333333333,False,300.0,0.4,761.0,89.00892321193005,88.93528228492994,-0.07364092700010438,0.10948232413013537,-0.2821606977227134,0.13481865163388007,-0.07573003328739669,82.0,218.0,0.0,-11.650266661222899,4.0982163002007635e-26,0.5466666666666666,0.2733333333333333,0.7266666666666667,False,300.0,0.4,761.0,81.18050307783442,81.07246925125402,-0.10803382658039411,0.10622854632970272,-0.3178870831659089,0.08824224864058301,-0.11124451315512318,49.0,251.0,0.0,-17.61485806202798,3.901768076014294e-48,0.32666666666666666,0.16333333333333333,0.8366666666666667,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.footweets.out.postproc,60.08365015755234,73.48772453393497,88.97711456010018,81.00280868424225,300.0,0.4,761.0,59.73007275339548,60.06821656477435,0.3381438113788555,0.4157378345911266,-0.447800689611617,1.1665246503371751,0.3539562092566122,234.0,66.0,0.0,14.087778711532872,6.42555772875669e-35,0.44,0.78,0.22,False,300.0,0.4,761.0,89.00892321193005,88.9829698771147,-0.025953334815346785,0.10256281758352787,-0.21542987650390033,0.16614555793663963,-0.03257303176822379,119.0,181.0,0.0,-4.382923128005648,1.6230750826607073e-05,0.7933333333333333,0.39666666666666667,0.6033333333333334,False,300.0,0.4,761.0,81.18050307783442,81.02334798092492,-0.15715509690948057,0.10994436335575787,-0.4034711679984667,0.04050912548458811,-0.15772385290198643,26.0,274.0,0.0,-24.758032536406116,2.2169798535670873e-74,0.17333333333333334,0.08666666666666667,0.9133333333333333,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.default.out.postproc,59.78034718470554,73.41026896368157,89.00979153114665,81.16411499514564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
