model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr.out.postproc,37.98327397998956,53.89779823442523,74.25389162557465,70.91216404097422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,40.63944620555306,56.7889079367057,76.86689868995121,73.19106720175061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.mmtc.out.postproc,41.12399331858577,58.22222195407558,78.49306355842522,73.87009851421628,300.0,0.4,280.0,40.65006381855239,41.382258366580196,0.7321945480278063,2.9620387244552684,-5.278089747302719,4.977785629040853,1.1677985549034346,187.0,113.0,0.0,4.281504315721997,2.503692583507372e-05,0.7533333333333333,0.6233333333333333,0.37666666666666665,False,300.0,0.4,280.0,76.89676514218252,78.51386106810753,1.6170959259250335,0.5479003035430139,0.6676654227610155,2.6763698461332512,1.6152377160532139,299.0,1.0,0.0,51.12047367564393,7.880992741349768e-150,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True,300.0,0.4,280.0,73.20165895617433,73.8927916399425,0.6911326837681594,0.43769193910902715,-0.15366368607750588,1.4249852126730302,0.7201107484953728,287.0,13.0,0.0,27.349759410572545,2.324999261924602e-83,0.08666666666666667,0.9566666666666667,0.043333333333333335,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.pfsmb.out.postproc,42.49876866030089,58.661125738615205,78.56640440651348,73.61866552702018,300.0,0.4,280.0,40.65006381855239,42.44050872958322,1.7904449110308254,2.2419104607358054,-4.093685262483398,5.033004484545057,2.2905820656229317,245.0,55.0,0.0,13.832584344339601,5.614380263476701e-34,0.36666666666666664,0.8166666666666667,0.18333333333333332,False,300.0,0.4,280.0,76.89676514218252,78.5954686738196,1.6987035316370778,0.5473154716625758,0.6444909492773652,2.7303755698459513,1.6726537261690377,300.0,0.0,0.0,53.757676808486394,1.008666089611966e-155,0.0,1.0,0.0,True,300.0,0.4,280.0,73.20165895617433,73.61935702816005,0.4176980719857277,0.4640988994662382,-0.526078173890713,1.2240978396896747,0.4122302601379968,245.0,55.0,0.0,15.58879548593873,1.640065524448821e-40,0.36666666666666664,0.8166666666666667,0.18333333333333332,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.footweets.out.postproc,42.33623472762508,58.41923529335461,78.4721386113337,73.87693930949484,300.0,0.4,280.0,40.65006381855239,42.484983528040345,1.8349197094879537,2.335872517841033,-3.7226730322679416,5.219086073136156,2.462327653531233,231.0,69.0,0.0,13.605940137435828,3.822432287599712e-33,0.46,0.77,0.23,False,300.0,0.4,280.0,76.89676514218252,78.48426591674132,1.5875007745588106,0.5064654879522577,0.6339103720550034,2.551609608211684,1.5727425739169076,300.0,0.0,0.0,54.290609409697865,6.940806724042454e-157,0.0,1.0,0.0,True,300.0,0.4,280.0,73.20165895617433,73.88305652460883,0.681397568434477,0.3882839466232679,-0.0921406320163187,1.4271000144737045,0.6768433962549503,285.0,15.0,0.0,30.395673551436005,1.871612843192477e-93,0.1,0.95,0.05,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.rocsmt.out.postproc,42.27196041259266,57.72913239738139,77.95689494907856,74.00923556515149,300.0,0.4,280.0,40.65006381855239,42.25455071598892,1.604486897436523,1.0059363973303297,0.006859712245984903,3.622834482201251,1.5384828164579183,292.0,8.0,0.0,27.626526227840884,2.6818592747760125e-84,0.05333333333333334,0.9733333333333334,0.02666666666666667,True,300.0,0.4,280.0,76.89676514218252,77.96296626010111,1.0662011179186046,0.4862127922917961,0.1852376979908768,1.966868298394335,1.0695715967033559,297.0,3.0,0.0,37.9816108625433,1.973764822196076e-116,0.02,0.99,0.01,True,300.0,0.4,280.0,73.20165895617433,73.99179429397697,0.7901353378026261,0.4013198512142941,-0.05457790089505227,1.5373595447412605,0.8009689407689313,290.0,10.0,0.0,34.1013420041107,4.684276460320538e-105,0.06666666666666667,0.9666666666666667,0.03333333333333333,False
google/gemma-2-9b-it,test.fr.default.out.postproc,43.829703233328715,60.44166239343418,79.68797640715326,75.97927219527108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,test.fr.mmtc.out.postproc,46.04556981598428,62.92355228809806,81.46811938285828,75.99465867451259,300.0,0.4,280.0,43.58759919912372,46.124418711721916,2.53681951259819,1.0146473087071963,0.8945163060424085,4.9135772268089575,2.4136048982224025,300.0,0.0,0.0,43.30470546510027,7.573431396901465e-131,0.0,1.0,0.0,True,300.0,0.4,280.0,79.687465334116,81.50219193576346,1.8147266016474792,0.4205822450954469,1.042106944003276,2.6311804050845726,1.779215266661982,300.0,0.0,0.0,74.73445949167264,1.6562496085779888e-195,0.0,1.0,0.0,True,300.0,0.4,280.0,75.9683967951153,76.00911499300884,0.04071819789352871,0.27953623076285344,-0.4756605638457134,0.639525105644548,0.02701047807931456,164.0,136.0,0.0,2.522964102069008,0.012155582846790821,0.9066666666666666,0.5466666666666666,0.4533333333333333,False
google/gemma-2-9b-it,test.fr.pfsmb.out.postproc,46.893141916319564,62.98932498814806,81.30930055465016,75.73572926010405,300.0,0.4,280.0,43.58759919912372,46.97021137984938,3.3826121807256615,1.0929283854887122,1.6932149435956854,5.819449685174908,3.215337813955337,300.0,0.0,0.0,53.60695391490235,2.1586302264352217e-155,0.0,1.0,0.0,True,300.0,0.4,280.0,79.687465334116,81.34841445301261,1.6609491188966092,0.422548216750537,0.9298314614487619,2.4727201081280143,1.6260973364114695,300.0,0.0,0.0,68.08331330419776,4.4910802369359135e-184,0.0,1.0,0.0,True,300.0,0.4,280.0,75.9683967951153,75.74575187528417,-0.22264491983112863,0.2691074400833744,-0.7050218912107583,0.3169836976698464,-0.22915910929441896,64.0,236.0,0.0,-14.330050223625863,8.14975924069672e-36,0.4266666666666667,0.21333333333333335,0.7866666666666666,False
google/gemma-2-9b-it,test.fr.footweets.out.postproc,45.82112636476668,62.81555807567696,81.29271601779121,75.8401256629399,300.0,0.4,280.0,43.58759919912372,45.89345972593691,2.3058605268131798,1.0012575279129536,0.6881495207319495,4.684487639573203,2.168663785771596,300.0,0.0,0.0,39.888514955117316,9.537863917080989e-122,0.0,1.0,0.0,True,300.0,0.4,280.0,79.687465334116,81.32681865046422,1.6393533163482232,0.41319660195258356,0.8866048032151778,2.4750415504510936,1.6272348325167385,300.0,0.0,0.0,68.71893965375585,3.295349774536121e-185,0.0,1.0,0.0,True,300.0,0.4,280.0,75.9683967951153,75.84140477450121,-0.1269920206140901,0.27967131610212537,-0.6925606264599726,0.4477842686963949,-0.1334675667541363,102.0,198.0,0.0,-7.864826286980337,6.784439362293681e-14,0.68,0.34,0.66,False
