model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,detok.twitter.sent.en.txt.out.postproc,40.99755882657292,57.564360004689654,80.00443030518107,76.7684529101207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.mmtc.out.postproc,42.001451401213046,56.60900501084004,83.03965038432615,77.81270879101821,300.0,0.4,1412.0,40.65687670544319,41.97961354700411,1.3227368415609164,1.2351439215716857,-0.46847528566534996,4.307947825650225,1.0676803674245576,276.0,24.0,0.0,18.54882961097682,1.1957547556796126e-51,0.16,0.92,0.08,False,300.0,0.4,1412.0,80.01106802040641,83.0689409550304,3.0578729346239752,0.37920063889411926,2.2908149630084558,3.7822753812051877,3.022990610038928,300.0,0.0,0.0,139.67253065038565,2.5357467569523403e-274,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,77.83060534723364,1.0550859660698182,0.2940028596655513,0.5042217527291939,1.5994302794949389,1.0385654824482504,300.0,0.0,0.0,62.15798382589487,4.982023047002237e-173,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.default.out.postproc,40.86753239455551,56.10306705788369,82.57511974056449,78.33388441851726,300.0,0.4,1412.0,40.65687670544319,40.87616345306953,0.2192867476263432,1.2401206349146905,-1.5353840693797596,3.0910426286443893,0.0011504797633214991,150.0,150.0,0.0,3.062732589249177,0.0023928047385488546,1.0,0.5,0.5,False,300.0,0.4,1412.0,80.01106802040641,82.59671861215428,2.5856505917478443,0.37490674692856635,1.872718826189595,3.3113561929454174,2.5633975779030873,300.0,0.0,0.0,119.4557908658047,2.237224784582029e-254,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,78.3505571636884,1.5750377825245865,0.2929116578944803,0.9923157864711982,2.1605978239718073,1.5680081234775267,300.0,0.0,0.0,93.13543485373894,6.579577415674438e-223,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.rocsmt.out.postproc,42.34664296971411,57.91616508629721,82.96096304151898,77.6775277353211,300.0,0.4,1412.0,40.65687670544319,42.37313859364915,1.7162618882059613,1.2207648589481732,-0.032549411511725676,4.683683452341503,1.5423960868292497,291.0,9.0,0.0,24.350740174713895,6.13749622892476e-73,0.06,0.97,0.03,False,300.0,0.4,1412.0,80.01106802040641,83.01065802849244,2.9995900080860287,0.4009048232512056,2.267225743733112,3.8445932628644943,2.9917204193243285,300.0,0.0,0.0,129.59291070004153,9.393567539119763e-265,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,77.70399331274011,0.9284739315763071,0.2985058335225938,0.2951127802029699,1.5171022904725486,0.9477363872967048,300.0,0.0,0.0,53.87378879721865,5.6196284172735e-156,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.footweets.out.postproc,43.182435744600596,58.46812283621734,83.30541953486694,77.44183795394707,300.0,0.4,1412.0,40.65687670544319,43.17745850732555,2.5205818018823556,1.2251807819882856,0.9317784788314963,5.577771241963021,2.25649975701106,300.0,0.0,0.0,35.6337269542275,1.2200035437961134e-109,0.0,1.0,0.0,True,300.0,0.4,1412.0,80.01106802040641,83.3354118186787,3.3243437982722766,0.39500607302382884,2.505686276383887,4.089083296402485,3.3083142586073535,300.0,0.0,0.0,145.7681983559462,8.652903378046456e-280,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,77.45860537470118,0.6830859935373713,0.3039504557753937,0.13274289345732604,1.2932567132199,0.6986006271231304,297.0,3.0,0.0,38.925411173578965,4.3895332507169215e-119,0.02,0.99,0.01,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.pfsmb.out.postproc,43.48034936882388,58.700010099580716,83.62601987447684,77.64520683386507,300.0,0.4,1412.0,40.65687670544319,43.47999199719931,2.8231152917561206,1.2413116793711958,1.192677538936768,6.031615530385269,2.5855990330323664,300.0,0.0,0.0,39.39203346111448,2.221779388216975e-120,0.0,1.0,0.0,True,300.0,0.4,1412.0,80.01106802040641,83.65354504790842,3.6424770275020055,0.3952242669932482,2.873227243594002,4.4773481338266405,3.633937638559015,300.0,0.0,0.0,159.6297546462073,1.9527477546379122e-291,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,77.65627367464549,0.8807542934816778,0.3008949227470925,0.3028347038745749,1.456615067385242,0.879184382495396,299.0,1.0,0.0,50.69913348378148,7.252614845285816e-149,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.mmtc.out.postproc,46.68495766266669,58.98022943420391,84.84262178876246,80.07671095663022,300.0,0.4,1412.0,40.65687670544319,46.70331799991083,6.046441294467641,1.175735129976911,4.544979276051414,9.175738925869629,5.820523439810916,300.0,0.0,0.0,89.07400365936287,2.5539914330949247e-217,0.0,1.0,0.0,True,300.0,0.4,1412.0,80.01106802040641,84.87233704942734,4.861269029020925,0.369696399045459,4.186898342811272,5.597101275679826,4.864338640830673,300.0,0.0,0.0,227.75350177240767,0.0,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,80.07847621621139,3.3029568350475507,0.27875333822447235,2.7884210497879542,3.8828333750071704,3.2722200280208447,300.0,0.0,0.0,205.23123023202612,1e-323,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.default.out.postproc,43.03832074050434,56.54072172186417,82.70400112901126,79.50250821731584,300.0,0.4,1412.0,40.65687670544319,43.05261735613249,2.3957406506892984,1.1684740032450234,0.879305096304473,5.2321712545859,2.1729204167777993,299.0,1.0,0.0,35.512510481432145,2.783270108305907e-109,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True,300.0,0.4,1412.0,80.01106802040641,82.73675948503138,2.7256914646249544,0.38788623034269953,1.9447887617113222,3.5460675076684405,2.699403686411994,300.0,0.0,0.0,121.71187665816824,9.309113063543343e-257,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,79.50529235462825,2.7297729734644447,0.2907241296364274,2.1994743413864404,3.3154786664665434,2.7184634345449044,300.0,0.0,0.0,162.6320281388972,7.916415273520997e-294,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.rocsmt.out.postproc,45.42830117619027,58.88638585009509,84.5440242758216,80.13292724704607,300.0,0.4,1412.0,40.65687670544319,45.44616318775684,4.789286482313645,1.162458293092454,3.189850732599642,7.717176740433385,4.601609145203689,300.0,0.0,0.0,71.35987216627225,7.971459453885099e-190,0.0,1.0,0.0,True,300.0,0.4,1412.0,80.01106802040641,84.58257492598607,4.571506905579646,0.3633668564362612,3.901974204294493,5.269935554626887,4.577526767809398,300.0,0.0,0.0,217.90876320622405,0.0,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,80.14633301423197,3.370813633068144,0.26736089554108367,2.8524507199633016,3.91025531504082,3.3657722090695454,300.0,0.0,0.0,218.37226657638521,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.footweets.out.postproc,47.295004191266194,60.538523322158255,85.22710760237476,79.85598454563205,300.0,0.4,1412.0,40.65687670544319,47.32252708595143,6.665650380508243,1.1586283228898575,5.158955758460971,9.53979891455131,6.443242699724848,300.0,0.0,0.0,99.64580440891415,2.0770780298021578e-231,0.0,1.0,0.0,True,300.0,0.4,1412.0,80.01106802040641,85.26395565033577,5.252887629929356,0.3693465717105014,4.578008864644817,5.975018997304671,5.247217753411348,300.0,0.0,0.0,246.33417387231222,0.0,0.0,1.0,0.0,True,300.0,0.4,1412.0,76.77551938116382,79.86136710426372,3.0858477230999015,0.2771592008178915,2.5375881600628967,3.6354585120681397,3.083622833402566,300.0,0.0,0.0,192.84386103933153,9.590506e-316,0.0,1.0,0.0,True
