model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr.out.postproc,37.98327397998956,53.89779823442523,74.25389162557465,70.91216404097422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,40.63944620555306,56.7889079367057,76.86689868995121,73.19106720175061,300.0,0.4,280.0,37.37891683834243,40.65006381855239,3.27114698020997,1.9160709263294082,-0.19996753138633797,7.513738617833705,3.2387607809167314,289.0,11.0,0.0,29.569848855245965,9.101271537516203e-91,0.07333333333333333,0.9633333333333334,0.03666666666666667,False,300.0,0.4,280.0,74.29878209800947,76.89676514218252,2.5979830441730365,0.6513083709440087,1.3493608930813477,3.8717872992690125,2.5743717221277107,300.0,0.0,0.0,69.08921841720037,7.2659447863014345e-186,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,73.20165895617433,2.2649970240181396,0.6065565126842134,1.0892712763909778,3.3260558404560645,2.2804772321667057,300.0,0.0,0.0,64.67806119549769,7.812419098309652e-178,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr.mmtc.out.postproc,41.12399331858577,58.22222195407558,78.49306355842522,73.87009851421628,300.0,0.4,280.0,37.37891683834243,41.382258366580196,4.003341528237776,3.252869697934605,-2.3401893844238515,8.925096171168201,4.329260185606984,263.0,37.0,0.0,21.316534539827924,5.896119490974832e-62,0.24666666666666667,0.8766666666666667,0.12333333333333334,False,300.0,0.4,280.0,74.29878209800947,78.51386106810753,4.2150789700980695,0.6569370494752411,2.955591809935871,5.362763899644566,4.204048434538504,300.0,0.0,0.0,111.13288464940058,3.3241728796296394e-245,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,73.8927916399425,2.956129707786299,0.6251934757241627,1.7641780876687572,4.156766922878363,2.9857610325728148,300.0,0.0,0.0,81.89731733394865,7.702374577009141e-207,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr.pfsmb.out.postproc,42.49876866030089,58.661125738615205,78.56640440651348,73.61866552702018,300.0,0.4,280.0,37.37891683834243,42.44050872958322,5.061591891240795,2.5442757954091486,-0.9363680393984867,9.25727253383993,5.322084592381135,289.0,11.0,0.0,34.45748428148638,3.928974999762671e-106,0.07333333333333333,0.9633333333333334,0.03666666666666667,False,300.0,0.4,280.0,74.29878209800947,78.5954686738196,4.296686575810114,0.6521478081277076,3.0483300699187175,5.557006741740873,4.296066745051319,300.0,0.0,0.0,114.11645275429507,1.4470104263908276e-248,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,73.61935702816005,2.682695096003868,0.6431394101047143,1.383289300304442,3.877070111222563,2.7029145216303174,300.0,0.0,0.0,72.2481647756281,2.4146399617591425e-191,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr.footweets.out.postproc,42.33623472762508,58.41923529335461,78.4721386113337,73.87693930949484,300.0,0.4,280.0,37.37891683834243,42.484983528040345,5.106066689697924,2.7579604161657287,-1.189620169980027,9.02378417179142,5.5787477475805005,280.0,20.0,0.0,32.06705535566464,8.869607849218289e-99,0.13333333333333333,0.9333333333333333,0.06666666666666667,False,300.0,0.4,280.0,74.29878209800947,78.48426591674132,4.185483818731846,0.6485215694973312,2.8919879847339276,5.292418701707256,4.203684053250717,300.0,0.0,0.0,111.78457231453422,6.028695752114431e-246,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,73.88305652460883,2.946394592452617,0.5900251820770657,1.8905961005283252,4.058060206738966,2.9345248373491453,300.0,0.0,0.0,86.49300552408565,1.211302674444983e-213,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr.rocsmt.out.postproc,42.27196041259266,57.72913239738139,77.95689494907856,74.00923556515149,300.0,0.4,280.0,37.37891683834243,42.25455071598892,4.875633877646493,1.779099179410927,1.3844810228674957,8.660452600083154,4.88347363126989,300.0,0.0,0.0,47.46697482027919,2.964137919901336e-141,0.0,1.0,0.0,True,300.0,0.4,280.0,74.29878209800947,77.96296626010111,3.6641841620916416,0.6134756303509015,2.479936426106314,4.792346127597344,3.6595082495893774,300.0,0.0,0.0,103.452408262766,3.8552555131899694e-236,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,73.99179429397697,3.055132361820766,0.5946334629006576,1.9395320348973781,4.151971212987384,3.06456175233637,300.0,0.0,0.0,88.99002166323625,3.3517405002692558e-217,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.default.out.postproc,43.829703233328715,60.44166239343418,79.68797640715326,75.97927219527108,300.0,0.4,280.0,37.37891683834243,43.58759919912372,6.208682360781304,1.8484642722992155,2.9194534294550136,10.47675990532529,6.2024891716902175,300.0,0.0,0.0,58.17669001280629,4.348988526354747e-165,0.0,1.0,0.0,True,300.0,0.4,280.0,74.29878209800947,79.687465334116,5.38868323610652,0.7028514167364784,3.9924753986831223,6.701042548088093,5.434880501457623,300.0,0.0,0.0,132.7943990519206,7.208066595533824e-268,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,75.9683967951153,5.031734862959102,0.6286922553283639,3.839545772277883,6.216038536546486,5.055048529590883,300.0,0.0,0.0,138.62458713299807,2.329340011141482e-273,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.mmtc.out.postproc,46.04556981598428,62.92355228809806,81.46811938285828,75.99465867451259,300.0,0.4,280.0,37.37891683834243,46.124418711721916,8.745501873379492,1.7992124721453462,5.570215072553207,12.955065616355576,8.608345032810547,300.0,0.0,0.0,84.19046564478462,2.813268768427537e-210,0.0,1.0,0.0,True,300.0,0.4,280.0,74.29878209800947,81.50219193576346,7.203409837753999,0.6486964874367953,5.965875241639363,8.47289689577051,7.230642869004178,300.0,0.0,0.0,192.3345057105316,2.101548204e-315,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,76.00911499300884,5.072453060852631,0.6028765107837095,3.941987971908276,6.209513090816989,5.0599899781601785,300.0,0.0,0.0,145.7304483298576,9.33962903752373e-280,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.pfsmb.out.postproc,46.893141916319564,62.98932498814806,81.30930055465016,75.73572926010405,300.0,0.4,280.0,37.37891683834243,46.97021137984938,9.591294541506965,1.7769203518063788,6.413553156849723,13.81332105126587,9.560318836706887,300.0,0.0,0.0,93.49101910707525,2.186462484626308e-223,0.0,1.0,0.0,True,300.0,0.4,280.0,74.29878209800947,81.34841445301261,7.049632355003128,0.6569157177144263,5.823407626045603,8.361383227099259,7.053086986499169,300.0,0.0,0.0,185.87348550632356,5.283737206812e-311,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,75.74575187528417,4.809089943127972,0.6262987565203902,3.5752587568547067,5.932309998199345,4.808877956654345,300.0,0.0,0.0,132.99704067662455,4.603631000257898e-268,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.footweets.out.postproc,45.82112636476668,62.81555807567696,81.29271601779121,75.8401256629399,300.0,0.4,280.0,37.37891683834243,45.89345972593691,8.514542887594484,1.8072146494770516,5.3438103267934345,12.802051288502785,8.35827716244761,300.0,0.0,0.0,81.60414640731993,2.1499402326792393e-206,0.0,1.0,0.0,True,300.0,0.4,280.0,74.29878209800947,81.32681865046422,7.0280365524547435,0.6484364612079961,5.861554759953706,8.285555148497219,7.005745864340235,300.0,0.0,0.0,187.7272040444094,2.78761223437e-312,0.0,1.0,0.0,True,300.0,0.4,280.0,70.9366619321562,75.84140477450121,4.904742842345011,0.61110774515057,3.8309243834976714,6.089986338413189,4.8955871324454,300.0,0.0,0.0,139.01417333384,1.019427685697387e-273,0.0,1.0,0.0,True
