model,file,bleu,chrf2,comet,cometkiwi,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci
facebook/nllb-200-3.3B,test.fr-en.fr.out.postproc,52.80327018165816,67.97797903543116,86.5358959287405,79.51874260455371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,test.fr-en.fr.footweets.out.postproc,56.70916849191195,70.10626267514594,86.43805137127639,80.36047597974539,300.0,0.4,800.0,77.77994677249342,86.4664865244925,8.68653975199908,0.4082783100051204,7.866667719371619,9.465312041528522,8.676366042345757,300.0,0.0,0.0,368.5115722224006,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.65113552521913,80.37376393533002,2.7226284101108713,0.18830211174408795,2.3898208803497245,3.0553850246593357,2.7315337713807786,300.0,0.0,0.0,250.43429905084753,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,40.473427011618305,56.76678382345207,16.29335681183377,0.830663470669345,14.780901611806552,17.932926242274732,16.354752794089926,300.0,0.0,0.0,339.73953135563136,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.rocsmt.out.postproc,54.60188643355991,68.41644165234202,85.47852101773023,80.17268345952034,300.0,0.4,800.0,77.77994677249342,85.50191579834868,7.721969025855263,0.3915612541913592,6.978141389787197,8.471611322835095,7.71232707798481,300.0,0.0,0.0,341.57727671180845,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.65113552521913,80.18723330538721,2.536097780168057,0.17528639156382475,2.185642915125937,2.8704281949438153,2.53975550457835,300.0,0.0,0.0,250.5984731058989,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,40.473427011618305,54.648753984926955,14.175326973308657,0.8399623733002465,12.496670026737867,15.705814077074649,14.175376410048017,300.0,0.0,0.0,292.303409201591,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.mmtc.out.postproc,56.58790117942605,70.04974067477083,86.59287812709809,80.47581919431687,300.0,0.4,800.0,77.77994677249342,86.60483879391104,8.824892021417618,0.40148280700928674,8.013583938032387,9.62952202847228,8.828332208096977,300.0,0.0,0.0,380.71770660034684,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.65113552521913,80.4848823606968,2.8337468354776503,0.18059862521915368,2.4952182727865875,3.151642646640539,2.8393968436867034,300.0,0.0,0.0,271.7735801631267,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,40.473427011618305,56.600868017442785,16.12744100582448,0.8434408628958002,14.619764699925986,17.959953044919548,16.15562061527607,300.0,0.0,0.0,331.18560467005335,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.pfsmb.out.postproc,54.481532208259,68.73794762582527,86.2412164285779,80.14270421117544,300.0,0.4,800.0,77.77994677249342,86.25921277956417,8.479266007070741,0.4081102172861161,7.687956649158152,9.272263983357696,8.513767698779706,300.0,0.0,0.0,359.86649961380033,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.65113552521913,80.14741730994234,2.496281784723202,0.19442036556857598,2.137197066750376,2.8568159726448368,2.4934662356972725,300.0,0.0,0.0,222.38857891789374,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,40.473427011618305,54.52013832387963,14.046711312261323,0.8774864774463108,12.435517915548967,15.960094510685707,14.010492518361009,300.0,0.0,0.0,277.26487299147834,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.default.out.postproc,40.45993752735281,56.70793698353221,77.78047895133496,77.64547811597585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibm-granite/granite-4.1-8b,test.fr-en.fr.footweets.out.postproc,53.89549033161651,69.54930619791905,86.43960930407047,80.29514940530062,300.0,0.4,800.0,77.53648525415609,86.41749179519712,8.881006541041037,0.46507991346504396,8.011144440528007,9.743741995841262,8.89433083124459,300.0,0.0,0.0,330.7464826169227,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.68100409785906,80.30202483665198,2.621020738792916,0.21006079530864777,2.2685087100602654,3.024515247158703,2.6227596886455986,300.0,0.0,0.0,216.1155812349794,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,39.876831846460675,53.84261937204941,13.965787525588734,0.8735788679102042,12.24618738609301,15.626328423514993,13.937798145770937,300.0,0.0,0.0,276.9006262697024,0.0,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,test.fr-en.fr.rocsmt.out.postproc,51.581034484237854,67.18495478956989,84.76965841799975,79.78043948113918,300.0,0.4,800.0,77.53648525415609,84.7509058968102,7.214420642654101,0.44173952418710205,6.367742755729711,8.115628978237512,7.233560342341661,300.0,0.0,0.0,282.87582197326657,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.68100409785906,79.79035162902126,2.1093475311622023,0.20312286199294466,1.6998482685536134,2.5122255121357706,2.1088210847228783,300.0,0.0,0.0,179.86636555563163,8.937655221120214e-307,0.0,1.0,0.0,True,300.0,0.4,800.0,39.876831846460675,51.439828798182134,11.562996951721455,0.8218668740614165,10.051516872056053,13.261213104073779,11.546493554070203,300.0,0.0,0.0,243.6854293588305,0.0,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,test.fr-en.fr.mmtc.out.postproc,55.352595960092415,71.50164585049961,87.77017650306225,80.72797645926475,300.0,0.4,800.0,77.53648525415609,87.75216928156715,10.215684027411044,0.4726923542688257,9.206874299887566,11.144019307568676,10.186149340122942,300.0,0.0,0.0,374.3255758159131,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.68100409785906,80.7282590371867,3.0472549393276367,0.20960437282064037,2.648981341999023,3.4916714790277226,3.0434967484325117,300.0,0.0,0.0,251.80774177106977,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,39.876831846460675,55.305297963587584,15.428466117126897,0.8979720736195432,13.67902017855071,17.202477978936297,15.422783928545542,300.0,0.0,0.0,297.59151740659553,0.0,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,test.fr-en.fr.pfsmb.out.postproc,55.3657564878021,71.49676670478337,87.99323799163103,80.75758520364761,300.0,0.4,800.0,77.53648525415609,87.96860937982797,10.432124125671884,0.478532003562949,9.437902199197563,11.303637682646515,10.433113213628536,300.0,0.0,0.0,377.59165284651345,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.68100409785906,80.76010015474012,3.07909605688105,0.2075810794311684,2.6819659226573984,3.477236163895575,3.085436705499883,300.0,0.0,0.0,256.91892664386023,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,39.876831846460675,55.322311553755135,15.445479707294458,0.9249815091613153,13.474637532423671,17.211545767193268,15.419899063633203,300.0,0.0,0.0,289.2204366827241,0.0,0.0,1.0,0.0,True
