model,file,bleu,chrf2,comet,cometkiwi,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci
facebook/nllb-200-3.3B,test.fr.out.postproc,37.064594406515354,52.997043432948324,73.16792193258438,69.82670234590577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.mmtc.out.postproc,40.66679354223255,54.91641334248251,71.78669499767946,67.49556933168893,300.0,0.4,311.0,73.66035626443764,71.74742053514636,-1.9129357292912783,1.099688958695614,-3.983307619043102,0.0612091625235099,-1.7954070899647567,11.0,289.0,0.0,-30.129445681407592,1.3625231651752245e-92,0.07333333333333333,0.03666666666666667,0.9633333333333334,False,300.0,0.4,311.0,70.07743975849142,67.46077751444147,-2.616662244049938,1.0215398645305878,-4.6396335053865565,-0.8432410302844402,-2.5509497695797134,0.0,300.0,0.0,-44.36627595560643,1.4340907873591265e-133,0.0,0.0,1.0,True,300.0,0.4,311.0,39.17218609409109,39.59145470165623,0.4192686075651373,2.340059499980203,-5.578981123545885,3.597829634469445,1.028553791402036,206.0,94.0,0.0,3.1033165196338737,0.0020966556925726596,0.6266666666666667,0.6866666666666666,0.31333333333333335,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.pfsmb.out.postproc,41.33646049503035,55.772334587617735,73.06592676361862,68.44739701066699,300.0,0.4,311.0,73.66035626443764,73.03594143128089,-0.6244148331567534,1.0082597769117232,-2.5360193817466086,1.3690362604772117,-0.6197426815508333,84.0,216.0,0.0,-10.726582977849283,6.310839642474752e-23,0.56,0.28,0.72,False,300.0,0.4,311.0,70.07743975849142,68.44488696404208,-1.6325527944493268,0.9411651334612393,-3.3656613114274903,0.16998237400192884,-1.6866487226302296,13.0,287.0,0.0,-30.044296006012612,2.5757347905527226e-92,0.08666666666666667,0.043333333333333335,0.9566666666666667,False,300.0,0.4,311.0,39.17218609409109,40.59561499581463,1.4234289017235413,1.6594664767183578,-2.81819684435353,3.82825195673224,1.6576053253267276,262.0,38.0,0.0,14.856890532809315,8.957398684338699e-38,0.25333333333333335,0.8733333333333333,0.12666666666666668,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.footweets.out.postproc,41.8455574735884,56.23732697496244,74.36161952205913,69.9872206690382,300.0,0.4,311.0,73.66035626443764,74.3253803405859,0.6650240761482448,0.9119957348763394,-0.9923628245710966,2.3594385867045995,0.6852957021768413,226.0,74.0,0.0,12.630053454158945,1.3501362004828984e-29,0.49333333333333335,0.7533333333333333,0.24666666666666667,False,300.0,0.4,311.0,70.07743975849142,69.96687122630027,-0.11056853219116129,0.8919461431946715,-1.8310125816577514,1.7061530456090612,-0.15117164305935016,130.0,170.0,0.0,-2.147106267957798,0.032588788562674664,0.8666666666666667,0.43333333333333335,0.5666666666666667,False,300.0,0.4,311.0,39.17218609409109,40.96421754599963,1.7920314519085336,1.9549761370938052,-3.2437782902263512,4.443651653052906,2.1594295110821484,252.0,48.0,0.0,15.876866548770924,1.3606337901565235e-41,0.32,0.84,0.16,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,39.16743928278638,55.0216253924144,73.63645967906352,70.08054294794836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.rocsmt.out.postproc,40.57751629631839,55.59384315431779,74.14379979230876,70.31577932174909,300.0,0.4,311.0,73.66035626443764,74.17465746043388,0.5143011959962396,0.9555503506638783,-1.3494353897126898,2.2495236163928904,0.5494777556401043,218.0,82.0,0.0,9.322332425915983,2.609158704776561e-18,0.5466666666666666,0.7266666666666667,0.2733333333333333,False,300.0,0.4,311.0,70.07743975849142,70.3364069336608,0.2589671751693898,0.8995744474422132,-1.6097531506007128,1.8313967297602338,0.256426364087603,181.0,119.0,0.0,4.986183257665131,1.0453823317047438e-06,0.7933333333333333,0.6033333333333334,0.39666666666666667,False,300.0,0.4,311.0,39.17218609409109,40.48391156260071,1.311725468509616,0.9192660511782013,-0.4521064477335818,3.1433655636888362,1.278466742543248,281.0,19.0,0.0,24.71509911770165,3.1434384275468005e-74,0.12666666666666668,0.9366666666666666,0.06333333333333334,False
google/gemma-2-9b-it,test.fr.mmtc.out.postproc,45.2419249303123,62.22945204419993,80.63992809988511,75.23870255265918,300.0,0.4,311.0,78.92660806084497,80.62951237180481,1.7029043109598394,0.38554995665793534,1.0413942289601548,2.5130480508712276,1.661152490848894,300.0,0.0,0.0,76.50154632561299,2.1617623220803397e-198,0.0,1.0,0.0,True,300.0,0.4,311.0,75.19073236962862,75.25588747874973,0.06515510912110216,0.27707642671236565,-0.4792747670527092,0.6477634448234728,0.07511621694472614,181.0,119.0,0.0,4.072954192079122,5.950766719903503e-05,0.7933333333333333,0.6033333333333334,0.39666666666666667,False,300.0,0.4,311.0,42.752903597973095,45.15464708587849,2.401743487905383,0.8769618961836372,0.8935206666625736,4.269080271873447,2.3112069988846073,300.0,0.0,0.0,47.435832342351986,3.5250455119081915e-141,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.pfsmb.out.postproc,46.09177323931512,62.31016236600483,80.51182103356493,74.95348619985151,300.0,0.4,311.0,78.92660806084497,80.51509737770401,1.5884893168590462,0.3942083439399453,0.8923354979688362,2.391972112502319,1.5917490676668256,300.0,0.0,0.0,69.79416459280708,4.166430756738041e-187,0.0,1.0,0.0,True,300.0,0.4,311.0,75.19073236962862,74.9738585319358,-0.21687383769281643,0.2809123955357719,-0.7791820683567472,0.32248621393246385,-0.21903190007163675,64.0,236.0,0.0,-13.372016033680865,2.7470513248596403e-32,0.4266666666666667,0.21333333333333335,0.7866666666666666,False,300.0,0.4,311.0,42.752903597973095,46.00596317231255,3.2530595743394484,0.9465121505883594,1.6243173669703599,5.22811065952279,3.1952728929437058,300.0,0.0,0.0,59.52870715185096,7.788547056182052e-168,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.footweets.out.postproc,45.000279960296496,62.143789100703515,80.50064597580884,75.09743011672832,300.0,0.4,311.0,78.92660806084497,80.51060347084959,1.5839954100046127,0.3858950772626565,0.9206229508210608,2.3893590041487127,1.5745266553290005,300.0,0.0,0.0,71.09602300566539,2.2692047784428277e-189,0.0,1.0,0.0,True,300.0,0.4,311.0,75.19073236962862,75.12071638983161,-0.07001597979699943,0.2717210139904008,-0.6354313856439919,0.47301094799371346,-0.057089544377531,122.0,178.0,0.0,-4.463078970933153,1.1457415471848085e-05,0.8133333333333334,0.4066666666666667,0.5933333333333334,False,300.0,0.4,311.0,42.752903597973095,44.935151619354876,2.182248021381775,0.8679616708749327,0.7017598608904547,3.99953102944426,2.122199803657079,300.0,0.0,0.0,43.547596334982934,1.786731538927019e-131,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.default.out.postproc,42.969244001744336,59.672358265258154,78.87994987240477,75.16540057640738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
