model,file,bleu,chrf2,comet,cometkiwi,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci
facebook/nllb-200-3.3B,raw.en.test.out.postproc,21.33208553424466,43.82509062573216,73.21388013312026,75.52096357144625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,raw.en.test.default.out.postproc,23.37001307254992,45.90571643427695,76.3618159182486,77.89261541896259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,raw.en.test.footweets.out.postproc,22.089077056654045,45.0620043980629,75.50545824026838,77.4892653591551,300.0,0.4,769.0,76.35946415065686,75.50411540087705,-0.8553487497798073,0.2414072542506903,-1.3000712905113074,-0.39137117584055836,-0.8639836594249273,0.0,300.0,0.0,-61.369634371909456,1.7171199500403857e-171,0.0,0.0,1.0,True,300.0,0.4,769.0,77.87767906138842,77.48504764028942,-0.39263142109899035,0.21230095833288076,-0.7962370459450548,-0.007816722376753507,-0.39268343943148487,7.0,293.0,0.0,-32.032713150786385,1.1370502132977358e-98,0.04666666666666667,0.023333333333333334,0.9766666666666667,True,300.0,0.4,769.0,23.399473831116254,22.117878811962157,-1.281595019154093,0.3167985818192287,-1.908589288400185,-0.6305102096976745,-1.2927743779252037,0.0,300.0,0.0,-70.06936947617874,1.3743272571079778e-187,0.0,0.0,1.0,True
google/gemma-2-9b-it,raw.en.test.pfsmb.out.postproc,21.137995160626993,44.13194821559857,74.53978589263964,77.0590646287405,300.0,0.4,769.0,76.35946415065686,74.52828471951662,-1.8311794311402423,0.27655758100609823,-2.386781807664313,-1.308308494203419,-1.8331745937369803,0.0,300.0,0.0,-114.68482624745103,3.3859646932451767e-249,0.0,0.0,1.0,True,300.0,0.4,769.0,77.87767906138842,77.07111343962319,-0.8065656217652378,0.24651717524819872,-1.259806902088487,-0.3304340706845124,-0.8179253948215393,0.0,300.0,0.0,-56.669992065633224,5.798827313279618e-162,0.0,0.0,1.0,True,300.0,0.4,769.0,23.399473831116254,21.167744199427847,-2.2317296316884057,0.38357613541392943,-2.9709900861308842,-1.4907583383903968,-2.2357037649379237,0.0,300.0,0.0,-100.77449439522464,7.888819964712811e-233,0.0,0.0,1.0,True
google/gemma-2-9b-it,raw.en.test.mmtc.out.postproc,22.301798614835203,45.275285666652856,75.67429160243762,77.55208015907071,300.0,0.4,769.0,76.35946415065686,75.67466630582872,-0.684797844828131,0.223747216584773,-1.1479737408585156,-0.22795042960440823,-0.6817474728752937,0.0,300.0,0.0,-53.010923588700884,4.449270043563967e-154,0.0,0.0,1.0,True,300.0,0.4,769.0,77.87767906138842,77.54832248429122,-0.3293565770972069,0.22180821882874036,-0.7973365767608199,0.0828175764090092,-0.33665897012222223,19.0,281.0,0.0,-25.718719006521408,9.479306426072416e-78,0.12666666666666668,0.06333333333333334,0.9366666666666666,False,300.0,0.4,769.0,23.399473831116254,22.32480486970976,-1.0746689614064946,0.3148878069821041,-1.6523140251930581,-0.4601154338138782,-1.092704650632081,0.0,300.0,0.0,-59.112522022140816,5.3874819980946005e-167,0.0,0.0,1.0,True
google/gemma-2-9b-it,raw.en.test.rocsmt.out.postproc,23.125372847790885,45.981274789767205,76.56502287823254,77.94409084611578,300.0,0.4,769.0,76.35946415065686,76.56297583458844,0.20351168393158658,0.20705601682842914,-0.20104200917117676,0.5931148617025724,0.20559415008063464,253.0,47.0,0.0,17.024019968252805,6.560651366227172e-46,0.31333333333333335,0.8433333333333334,0.15666666666666668,False,300.0,0.4,769.0,77.87767906138842,77.93443975767171,0.05676069628329413,0.20189180741213672,-0.3276538207487517,0.4571381592045236,0.04829352210495297,179.0,121.0,0.0,4.869559151301219,1.815164525108637e-06,0.8066666666666666,0.5966666666666667,0.4033333333333333,False,300.0,0.4,769.0,23.399473831116254,23.146611186285565,-0.25286264483068494,0.30258381590162176,-0.791287868634727,0.38561494547828384,-0.266873944775341,56.0,244.0,0.0,-14.474367932665189,2.3750013948812632e-36,0.37333333333333335,0.18666666666666668,0.8133333333333334,False
ibm-granite/granite-4.1-8b,raw.en.test.default.out.postproc,20.91522400955844,43.908093613684315,74.27040394104854,76.84209762329117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibm-granite/granite-4.1-8b,raw.en.test.footweets.out.postproc,20.592776014896337,43.65567395127234,74.32934523218007,76.84686135706123,300.0,0.4,769.0,74.26739723654242,74.3452904964997,0.07789325995728391,0.26803912317037965,-0.4689315301021007,0.571259615945256,0.08100409869719605,181.0,119.0,0.0,5.033410131230246,8.336364185553755e-07,0.7933333333333333,0.6033333333333334,0.39666666666666667,False,300.0,0.4,769.0,76.83811586339544,76.84310648606152,0.004990622666060762,0.23959249825564927,-0.4325647613394529,0.5289243132612271,-0.0019294329675456634,149.0,151.0,0.0,0.3607797440218174,0.7185188627869333,0.9933333333333333,0.49666666666666665,0.5033333333333333,False,300.0,0.4,769.0,20.921220854890848,20.6094759349377,-0.3117449199531465,0.23723662181426672,-0.7887982844796191,0.11989809508459211,-0.3087476205666917,28.0,272.0,0.0,-22.760315681070406,3.1257794572835566e-67,0.18666666666666668,0.09333333333333334,0.9066666666666666,False
ibm-granite/granite-4.1-8b,raw.en.test.pfsmb.out.postproc,20.2262905476972,43.20570701948802,73.75475117446356,76.51431541289053,300.0,0.4,769.0,74.26739723654242,73.77294183418793,-0.4944554023544772,0.28530825638734103,-1.0799514702842172,0.04019869217753272,-0.48316274569775164,9.0,291.0,0.0,-30.01742360347849,3.1496482307580264e-92,0.06,0.03,0.97,False,300.0,0.4,769.0,76.83811586339544,76.50828543593474,-0.3298304274607179,0.2544103122977481,-0.7735759366705799,0.1892864988009801,-0.33871199165426136,33.0,267.0,0.0,-22.455184818747657,4.007179043998085e-66,0.22,0.11,0.89,False,300.0,0.4,769.0,20.921220854890848,20.230788392760818,-0.690432462130031,0.2582518446329155,-1.220183037600314,-0.15838347835700936,-0.6804455502494537,0.0,300.0,0.0,-46.30612049659952,2.0106961820679315e-138,0.0,0.0,1.0,True
ibm-granite/granite-4.1-8b,raw.en.test.mmtc.out.postproc,20.51557064991388,43.567314098022,74.15546895500029,76.74700023139305,300.0,0.4,769.0,74.26739723654242,74.17462855591033,-0.09276868063208862,0.2726041860389016,-0.6362155774034173,0.4708183383368091,-0.0811562184317105,117.0,183.0,0.0,-5.894262686889876,1.014452462151985e-08,0.78,0.39,0.61,False,300.0,0.4,769.0,76.83811586339544,76.74907187030436,-0.08904399309108706,0.26193624669234733,-0.5668392079859286,0.47204980004205294,-0.11021630700450147,106.0,194.0,0.0,-5.888025124057059,1.049347987749458e-08,0.7066666666666667,0.35333333333333333,0.6466666666666666,False,300.0,0.4,769.0,20.921220854890848,20.51652512609718,-0.4046957287936695,0.26344836252952614,-0.8897424701910416,0.0947428991607123,-0.3920497766191353,18.0,282.0,0.0,-26.60686736279072,8.0239167822977475e-81,0.12,0.06,0.94,False
