model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,detok.twitter.sent.en.txt.out.postproc,40.898228790387606,57.27555149086818,79.89847519882022,76.51340549588204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,detok.twitter.sent.en.txt.pfsmb.out.postproc,49.293644009771356,62.80392896021257,86.19652248248458,78.81344364807009,300.0,0.4,1600.0,40.724983673538674,49.26256911700659,8.537585443467908,0.9651360982209101,7.171518204739196,10.91381424257194,8.446559597845212,300.0,0.0,0.0,153.21706222889782,3.5542481109253854e-286,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,86.17558619198078,6.305124313362563,0.3977486405570564,5.5861680701375,7.068826524261379,6.3115101265721005,300.0,0.0,0.0,274.56525416370897,0.0,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,78.79974977123861,2.3079570965344702,0.27967663713525015,1.8208425648510502,2.8455362394452086,2.2833803026005626,300.0,0.0,0.0,142.93288827531495,2.83039953737517e-277,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.mmtc.out.postproc,46.9507885017882,58.98623764834044,85.27151354774833,79.89401373639703,300.0,0.4,1600.0,40.724983673538674,46.927205255919965,6.20222158238129,0.9627797341889369,4.827714825553057,8.458455208432838,6.1131249144354065,300.0,0.0,0.0,111.57861470291917,1.033013881067428e-245,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,85.26417297159632,5.393711092978094,0.3950413332287875,4.699119219370187,6.193175312643868,5.384470800869168,300.0,0.0,0.0,236.48618178836014,0.0,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,79.88003477986281,3.388242105158666,0.27282872392020735,2.891389073152093,3.9386474835220655,3.369960483163592,300.0,0.0,0.0,215.1022586681635,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.rocsmt.out.postproc,45.658789328568396,58.78451999959583,84.9203752361238,79.9654624953866,300.0,0.4,1600.0,40.724983673538674,45.60449142181095,4.879507748272274,0.9692240029015997,3.52979663049179,7.071696682295257,4.8257522273179845,300.0,0.0,0.0,87.19919554851994,1.168068646077315e-214,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,84.89374918696781,5.023287308349586,0.3949792770257026,4.312419795384629,5.782527369819582,5.034400704782466,300.0,0.0,0.0,220.27962845532312,0.0,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,79.94886921131985,3.4570765366156895,0.25771333719769357,2.9535211352631445,3.965060990955681,3.4526192508637923,300.0,0.0,0.0,232.34467692602638,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.default.out.postproc,43.39511444342299,56.49614102168235,83.21802773922681,79.41345047801734,300.0,0.4,1600.0,40.724983673538674,43.379640747052456,2.654657073513778,0.9958112540723469,1.2497918910781654,4.83868655464945,2.594809071970108,300.0,0.0,0.0,46.17341799657871,4.2701467010874305e-138,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,83.20249255937836,3.3320306807601203,0.409216762621256,2.570598067669192,4.101856763567777,3.354366504587236,300.0,0.0,0.0,141.03152555352005,1.4638225704843957e-275,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,79.3928699648132,2.9010772901090474,0.2841084218629575,2.363924897927788,3.4824524652212823,2.8910103589296297,300.0,0.0,0.0,176.86252418018339,1.3117604722305548e-304,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.footweets.out.postproc,47.541875657580675,60.48033778271626,85.60270406901836,79.6812283091247,300.0,0.4,1600.0,40.724983673538674,47.510936004024124,6.7859523304854426,0.9632922361856359,5.502186720211305,9.314546943802373,6.670037083963429,300.0,0.0,0.0,122.015041465321,4.489720906469385e-257,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,85.58219898032026,5.711737101702019,0.40012797968896757,5.011228514905093,6.501287580840291,5.6962774866260615,300.0,0.0,0.0,247.24636520830822,0.0,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,79.66650125301132,3.174708578307181,0.26999736183229817,2.650536861317231,3.6977736054919683,3.1825764235109077,300.0,0.0,0.0,203.65964021041822,0.0,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,detok.twitter.sent.en.txt.pfsmb.out.postproc,44.65440448993312,57.56249813194212,83.88488744087518,78.1928961135447,300.0,0.4,1600.0,40.724983673538674,44.5874674367945,3.8624837632558173,0.9710450409355044,2.4892425422290154,6.031317860167706,3.8261791320405756,300.0,0.0,0.0,68.89503410597467,1.6041609868988534e-185,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,83.87122882373941,4.000766945121189,0.39262617500021346,3.2791186618618675,4.796435523685064,4.015595998615029,300.0,0.0,0.0,176.4918403157471,2.441873791059211e-304,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,78.17540080888196,1.6836081341778237,0.2850568191496058,1.1713436004240096,2.227730253990741,1.6775179784744965,300.0,0.0,0.0,102.29872195766634,1.0055912481466599e-234,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,detok.twitter.sent.en.txt.mmtc.out.postproc,44.361538421497805,56.86288263953821,83.73692125529051,78.43526549860836,300.0,0.4,1600.0,40.724983673538674,44.297746609413,3.5727629358743176,0.9728465474615489,2.194607405575737,5.693204916857362,3.513024756131511,300.0,0.0,0.0,63.60928087250934,8.135523601933387e-176,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,83.72098905205725,3.8505271734390405,0.3896072082230132,3.097123438236303,4.620820728573018,3.869034809526056,300.0,0.0,0.0,171.18032109158128,2.07457463706468e-300,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,78.41345643146585,1.9216637567616994,0.28102546457494104,1.34200727217831,2.4536200800444914,1.9266313593834683,300.0,0.0,0.0,118.43835101595766,2.738668870780578e-253,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,detok.twitter.sent.en.txt.rocsmt.out.postproc,43.77285829034922,56.785307758464675,83.70992586538195,78.46064832285047,300.0,0.4,1600.0,40.724983673538674,43.70262162388162,2.977637950342931,0.9677621498300157,1.652624600665214,5.149226888469257,2.9252462162849646,300.0,0.0,0.0,53.29222906108794,1.0631409128454037e-154,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,83.69750813467427,3.8270462560560556,0.39038781009670553,3.053222344373348,4.625746217463169,3.815085555892439,300.0,0.0,0.0,169.79624842187863,2.293129598769693e-299,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,78.44026286508267,1.9484701903785262,0.28971520735996326,1.4274161953944708,2.5710832797922225,1.9476136155426482,300.0,0.0,0.0,116.4885128924507,3.528022888108336e-251,0.0,1.0,0.0,True
ibm-granite/granite-4.1-8b,detok.twitter.sent.en.txt.default.out.postproc,43.63706298125534,55.892436562739114,83.65781476795672,78.65281598567962,300.0,0.4,1600.0,40.724983673538674,43.59893727067592,2.8739535971372385,0.955175142474053,1.4809672042080517,4.9132946822820225,2.8355730348536454,300.0,0.0,0.0,52.11435502753627,4.442989613077559e-152,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.87046187861823,83.6492783317032,3.7788164530849704,0.4079535950042622,3.035667251609265,4.575587786408136,3.783882488030943,300.0,0.0,0.0,160.43741664176292,4.393710604891835e-292,0.0,1.0,0.0,True,300.0,0.4,1600.0,76.49179267470416,78.62882611537974,2.1370334406755864,0.27799134831103234,1.6608179254922977,2.7460234987549423,2.1236000349745154,300.0,0.0,0.0,133.14984510174233,3.284432836070991e-268,0.0,1.0,0.0,True
