model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,raw.en.test.out.postproc,21.33208553424466,43.82509062573216,73.21388013312026,75.52096357144625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.mmtc.out.postproc,19.13567037018927,41.18001700466244,70.9359676250558,72.59694159216986,300.0,0.4,769.0,21.36507127012726,19.15977329190672,-2.2052979782205373,0.57827684929651,-3.3787762864687823,-1.1489577142399454,-2.20291113481049,0.0,300.0,0.0,-66.05293206452328,2.185073601603432e-180,0.0,0.0,1.0,True,300.0,0.4,769.0,73.21331574071858,70.98575314274845,-2.227562597970142,0.6364841900000678,-3.4891216754331973,-1.0292544437303481,-2.2045157413798977,0.0,300.0,0.0,-60.61818435307874,5.200051487657285e-170,0.0,0.0,1.0,True,300.0,0.4,769.0,75.54536526881104,72.60565453731606,-2.93971073149498,0.6006891230508915,-4.07962333464266,-1.8244855687196606,-2.8564472211662864,0.0,300.0,0.0,-84.76478349805902,3.997449742724334e-211,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.pfsmb.out.postproc,19.399627206779137,41.39996746571272,71.04172828635366,73.10437375018674,300.0,0.4,769.0,21.36507127012726,19.42963421299718,-1.9354370571300767,0.5719163991445466,-3.145904963728142,-0.8569019716020949,-1.9308718930360236,0.0,300.0,0.0,-58.61477871267727,5.52691221742713e-166,0.0,0.0,1.0,True,300.0,0.4,769.0,73.21331574071858,71.10245568979909,-2.1108600509195137,0.6257733246714551,-3.120015803651869,-0.8706512139875142,-2.1314854662192073,0.0,300.0,0.0,-58.42557858757511,1.3449653242388541e-165,0.0,0.0,1.0,True,300.0,0.4,769.0,75.54536526881104,73.14013778194494,-2.4052274868660897,0.5770194458506207,-3.5801181211699444,-1.3316340626778216,-2.3960885953918654,0.0,300.0,0.0,-72.19819437578822,2.936583016514717e-191,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.footweets.out.postproc,19.34585815161361,41.3824323604366,71.26896351916982,73.09180114662486,300.0,0.4,769.0,21.36507127012726,19.372459714500653,-1.9926115556266064,0.5901896696972683,-3.059579706897786,-0.9018014405930932,-1.9373429092282404,0.0,300.0,0.0,-58.47788653882152,1.0515404104353298e-165,0.0,0.0,1.0,True,300.0,0.4,769.0,73.21331574071858,71.32914845410961,-1.8841672866089707,0.6322405788493047,-3.1063604002191116,-0.6932509734606587,-1.903624043004254,1.0,299.0,0.0,-51.61758956227611,5.853385934496562e-151,0.006666666666666667,0.0033333333333333335,0.9966666666666667,True,300.0,0.4,769.0,75.54536526881104,73.12528803799904,-2.420077230811997,0.5823812401717455,-3.5848696757548795,-1.3757089839373848,-2.3892042114458723,0.0,300.0,0.0,-71.97513300344,7.044772887579572e-191,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.default.out.postproc,20.041555514825276,42.554990039265284,73.48551298496503,75.41643256761529,300.0,0.4,769.0,21.36507127012726,20.04204737760447,-1.3230238925227893,0.5704033778232998,-2.513028904602602,-0.29573892872010776,-1.3227948333337025,2.0,298.0,0.0,-40.17410644063356,1.5784580818449354e-122,0.013333333333333334,0.006666666666666667,0.9933333333333333,True,300.0,0.4,769.0,73.21331574071858,73.49253158036846,0.2792158396498799,0.5063124924641083,-0.6356043573493114,1.2761565088082503,0.29067491678950175,211.0,89.0,0.0,9.55172996419557,4.832789383496449e-19,0.5933333333333334,0.7033333333333334,0.2966666666666667,False,300.0,0.4,769.0,75.54536526881104,75.414295469353,-0.13106979945804517,0.4262042118179753,-0.9691524036684024,0.7330156207782259,-0.14541139450742757,124.0,176.0,0.0,-5.326544076860372,1.9718264799050666e-07,0.8266666666666667,0.41333333333333333,0.5866666666666667,False
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.rocsmt.out.postproc,19.869944833361583,41.978027444722834,71.90082289984025,73.51554172282164,300.0,0.4,769.0,21.36507127012726,19.888067990814683,-1.477003279312576,0.573271977931727,-2.6279845063459986,-0.3997434641641149,-1.461519874353467,0.0,300.0,0.0,-44.62532307867136,3.158257618350414e-134,0.0,0.0,1.0,True,300.0,0.4,769.0,73.21331574071858,71.9515806391325,-1.2617351015860971,0.6133835333406193,-2.3987557842688116,-0.01938006134585408,-1.2637749304619528,7.0,293.0,0.0,-35.62843119928728,1.264719585492103e-109,0.04666666666666667,0.023333333333333334,0.9766666666666667,True,300.0,0.4,769.0,75.54536526881104,73.55171370397774,-1.9936515648332982,0.5635831403269578,-3.203741041132005,-0.943605655462749,-1.9876529553466749,0.0,300.0,0.0,-61.27056605840234,2.686518792799827e-171,0.0,0.0,1.0,True
google/gemma-2-9b-it,raw.en.test.mmtc.out.postproc,22.301798614835203,45.275285666652856,75.67429160243762,77.55208015907071,300.0,0.4,769.0,21.36507127012726,22.32480486970976,0.9597335995824983,0.5508929209029522,-0.17544953769337154,1.8766411246076153,1.0257826766326978,287.0,13.0,0.0,30.17478157975262,9.71089065812173e-93,0.08666666666666667,0.9566666666666667,0.043333333333333335,False,300.0,0.4,769.0,73.21331574071858,75.67466630582872,2.461350565110134,0.4339014880472749,1.6693054797958642,3.375153109208425,2.4118690500798845,300.0,0.0,0.0,98.25235339005413,1.2363413892768547e-229,0.0,1.0,0.0,True,300.0,0.4,769.0,75.54536526881104,77.54832248429122,2.0029572154801802,0.35425874175426453,1.3474039726627858,2.6807004096100298,2.0421181663735135,300.0,0.0,0.0,97.92909118964866,3.215315753589354e-229,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.pfsmb.out.postproc,21.137995160626993,44.13194821559857,74.53978589263964,77.0590646287405,300.0,0.4,769.0,21.36507127012726,21.167744199427847,-0.1973270706994122,0.5483230760402771,-1.2745830733776131,0.7143861936859139,-0.17484417585291467,112.0,188.0,0.0,-6.233195849211575,1.5524277733923037e-09,0.7466666666666667,0.37333333333333335,0.6266666666666667,False,300.0,0.4,769.0,73.21331574071858,74.52828471951662,1.3149689787980228,0.4151984141633475,0.5577582386849153,2.1354965949903404,1.3144785749044208,300.0,0.0,0.0,54.855534220780655,4.163176802476021e-158,0.0,1.0,0.0,True,300.0,0.4,769.0,75.54536526881104,77.07111343962319,1.5257481708121494,0.35809773866233685,0.7463449225197862,2.131512180958979,1.5473493693398843,300.0,0.0,0.0,73.79754368942807,5.934383048745366e-194,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.footweets.out.postproc,22.089077056654045,45.0620043980629,75.50545824026838,77.4892653591551,300.0,0.4,769.0,21.36507127012726,22.117878811962157,0.7528075418349001,0.5469541414009749,-0.3243101506987543,1.6732739251944215,0.8161952696656893,272.0,28.0,0.0,23.83930958890361,4.077140622601943e-71,0.18666666666666668,0.9066666666666666,0.09333333333333334,False,300.0,0.4,769.0,73.21331574071858,75.50411540087705,2.2907996601584575,0.42708947322379315,1.5392602598403629,3.1120175319894505,2.2699966261306272,300.0,0.0,0.0,92.90281428399582,1.3555764136267608e-222,0.0,1.0,0.0,True,300.0,0.4,769.0,75.54536526881104,77.48504764028942,1.9396823714783968,0.34954792816404756,1.2604559531680026,2.5592531818019744,1.984471086562839,300.0,0.0,0.0,96.11352685144662,7.289304251631339e-227,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.default.out.postproc,23.37001307254992,45.90571643427695,76.3618159182486,77.89261541896259,300.0,0.4,769.0,21.36507127012726,23.399473831116254,2.034402560988993,0.5258284944875563,0.8938305900695791,2.9553192537645154,2.0599781404683597,300.0,0.0,0.0,67.01212725482235,3.8495201816057696e-182,0.0,1.0,0.0,True,300.0,0.4,769.0,73.21331574071858,76.35946415065686,3.1461484099382644,0.44129028280551685,2.309304429036513,4.022665529261177,3.1665592668735423,300.0,0.0,0.0,123.48535887808552,1.3395498056914418e-258,0.0,1.0,0.0,True,300.0,0.4,769.0,75.54536526881104,77.87767906138842,2.3323137925773874,0.33731027281101655,1.688330483335819,2.9970995884180405,2.315466243516945,300.0,0.0,0.0,119.76172425086479,1.0576642215873042e-254,0.0,1.0,0.0,True
