model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,raw.en.test.out.postproc,21.63705645229304,44.091135575383255,73.81930184123792,76.23374701172294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.footweets.out.postproc,19.99213286118873,42.5583511297772,74.26865869641897,76.2671958401824,300.0,0.4,724.0,20.442626449885285,20.023885703960442,-0.41874074592484617,0.34372437375134546,-1.0521931551618473,0.28549029722271996,-0.42836303891577643,33.0,267.0,0.0,-21.100634768071487,3.684393156660845e-61,0.22,0.11,0.89,False,300.0,0.4,724.0,74.82905914352497,74.29312513547076,-0.5359340080542021,0.30067761950125393,-1.0553492872219394,-0.036707750588495666,-0.5234804416064998,5.0,295.0,0.0,-30.872431842238754,5.4699597845077606e-95,0.03333333333333333,0.016666666666666666,0.9833333333333333,True,300.0,0.4,724.0,76.9269224271096,76.2910997847414,-0.635822642368177,0.2649207473008672,-1.138881879925561,-0.07569177374655456,-0.6476215730055912,4.0,296.0,0.0,-41.57005943870722,2.7171644235162932e-126,0.02666666666666667,0.013333333333333334,0.9866666666666667,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.rocsmt.out.postproc,20.547086064985663,43.21473037427798,74.91198266043459,76.66750536102033,300.0,0.4,724.0,20.442626449885285,20.569929507985677,0.12730305810038917,0.319644967751855,-0.45005416383853875,0.7447623153559644,0.10441870724134183,192.0,108.0,0.0,6.898133455363529,3.1455757036005305e-11,0.72,0.64,0.36,False,300.0,0.4,724.0,74.82905914352497,74.93013483736642,0.10107569384146778,0.2728131100458511,-0.3759364673651705,0.6522711623686483,0.10710920088857767,196.0,104.0,0.0,6.4171489821099685,5.42949319418879e-10,0.6933333333333334,0.6533333333333333,0.3466666666666667,False,300.0,0.4,724.0,76.9269224271096,76.69141716006492,-0.23550526704467695,0.24501784179402877,-0.7181673522688744,0.23483715817661727,-0.23130892842843087,43.0,257.0,0.0,-16.64805652456766,1.7100297598174418e-44,0.2866666666666667,0.14333333333333334,0.8566666666666667,False
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.mmtc.out.postproc,19.871476088693132,42.5477364344892,74.23728040448864,76.12461703399586,300.0,0.4,724.0,20.442626449885285,19.89998890152915,-0.5426375483561358,0.33077660137096027,-1.2449560586633868,0.13358257663781184,-0.5753203848369033,20.0,280.0,0.0,-28.414216723672848,6.046320229537118e-87,0.13333333333333333,0.06666666666666667,0.9333333333333333,False,300.0,0.4,724.0,74.82905914352497,74.26070791797827,-0.5683512255467108,0.3058422728858651,-1.210068129620504,0.03778524820316934,-0.5556911929865571,10.0,290.0,0.0,-32.186956691834006,3.730536431950255e-99,0.06666666666666667,0.03333333333333333,0.9666666666666667,False,300.0,0.4,724.0,76.9269224271096,76.14997942434216,-0.7769430027674353,0.2691063932865709,-1.2622380344125173,-0.24723885951367963,-0.793407118534506,3.0,297.0,0.0,-50.00642084133938,2.878130358855671e-147,0.02,0.01,0.99,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.default.out.postproc,20.418100747179736,43.17367476883675,74.82534220381426,76.91612535415267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.pfsmb.out.postproc,19.964528477308228,42.42391349670376,73.8993850818255,76.23412451274886,300.0,0.4,724.0,20.442626449885285,19.998155349776308,-0.4444711001089809,0.3169393797599674,-1.0696369164222692,0.180126274919489,-0.45323194633101416,30.0,270.0,0.0,-24.290024435203584,1.008511038227104e-72,0.2,0.1,0.9,False,300.0,0.4,724.0,74.82905914352497,73.90367566969101,-0.9253834738339511,0.3097719199269109,-1.5277863498674258,-0.3630797725520763,-0.8997096623505008,0.0,300.0,0.0,-51.74165539417398,3.068681391874038e-151,0.0,0.0,1.0,True,300.0,0.4,724.0,76.9269224271096,76.23637677538407,-0.6905456517255325,0.2707808507098969,-1.2573047973297915,-0.1741393363278197,-0.6965709778156082,2.0,298.0,0.0,-44.17078056290596,4.511998950783849e-133,0.013333333333333334,0.006666666666666667,0.9933333333333333,True
google/gemma-2-9b-it,raw.en.test.footweets.out.postproc,22.369663862684117,45.34969881153932,75.98863300069911,78.16101543115212,300.0,0.4,724.0,23.708197494570594,22.368761253273295,-1.339436241297297,0.32449353664856,-1.9598072648594564,-0.7491956988866281,-1.3241036994463542,0.0,300.0,0.0,-71.49515664894831,4.668350135503726e-190,0.0,0.0,1.0,True,300.0,0.4,724.0,76.92000538950467,75.9804609529331,-0.9395444365715676,0.2519769427449442,-1.390777164298368,-0.432768629874141,-0.918904698109102,0.0,300.0,0.0,-64.58284168317148,1.178586138514368e-177,0.0,0.0,1.0,True,300.0,0.4,724.0,78.61723825785558,78.17590854514533,-0.4413297127102182,0.21081485850210235,-0.834183070643997,-0.040118489414451786,-0.43667112965938837,7.0,293.0,0.0,-36.25956399540267,1.7741569348442093e-111,0.04666666666666667,0.023333333333333334,0.9766666666666667,True
google/gemma-2-9b-it,raw.en.test.rocsmt.out.postproc,23.388078546226833,46.19421613844696,76.98564051494472,78.62435498575007,300.0,0.4,724.0,23.708197494570594,23.376319891796122,-0.33187760277447065,0.2897631412086667,-0.9180119432276712,0.18253429525866433,-0.31354179488098843,46.0,254.0,0.0,-19.837887852188704,1.7846248234910924e-56,0.30666666666666664,0.15333333333333332,0.8466666666666667,False,300.0,0.4,724.0,76.92000538950467,76.98188297580893,0.06187758630426302,0.2096420039006356,-0.3538435697555483,0.467521107307951,0.07029825831809666,187.0,113.0,0.0,5.112292447820222,5.690979421869024e-07,0.7533333333333333,0.6233333333333333,0.37666666666666665,False,300.0,0.4,724.0,78.61723825785558,78.63743453006336,0.02019627220777746,0.20028434475470513,-0.3779491366437737,0.41907661002726176,0.033121339935621164,170.0,130.0,0.0,1.7465653458938177,0.08173964098876858,0.8666666666666667,0.5666666666666667,0.43333333333333335,False
google/gemma-2-9b-it,raw.en.test.mmtc.out.postproc,22.56808221786391,45.51594055259873,76.1457200238822,78.22601300468096,300.0,0.4,724.0,23.708197494570594,22.564308327411283,-1.1438891671593168,0.3085730595149475,-1.75177110868638,-0.6042982455940876,-1.135688570614608,0.0,300.0,0.0,-64.20761938394723,5.988050774068658e-177,0.0,0.0,1.0,True,300.0,0.4,724.0,76.92000538950467,76.12996683878957,-0.7900385507150911,0.23871533849324753,-1.2588010432497097,-0.26611777043062446,-0.7787665012627065,0.0,300.0,0.0,-57.32295705897114,2.515695269907807e-163,0.0,0.0,1.0,True,300.0,0.4,724.0,78.61723825785558,78.23807016795786,-0.379168089897703,0.2226424362935655,-0.8065755665302283,0.047228202141449925,-0.3869626856311259,12.0,288.0,0.0,-29.49744923944876,1.5719355401660552e-90,0.08,0.04,0.96,False
google/gemma-2-9b-it,raw.en.test.default.out.postproc,23.691025553012047,46.23993353639344,76.93918841675278,78.62264320229613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
