model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr-en.fr.out.postproc,53.233659930939254,68.08183499019135,86.6590659074352,79.72444253890421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.mmtc.out.postproc,51.33756822770681,67.44248399966483,86.33465876432624,79.81897384931112,300.0,0.4,761.0,52.95093158353069,51.37674396816453,-1.5741876153661543,1.1031653227853018,-3.450637877001966,0.565742842888963,-1.548897880050724,22.0,278.0,0.0,-24.71590498852654,3.122897553910862e-74,0.14666666666666667,0.07333333333333333,0.9266666666666666,False,300.0,0.4,761.0,86.6699740134385,86.35314339524656,-0.3168306181919562,0.3631178220143857,-1.0603124171534584,0.3272122724297483,-0.30894912534568664,60.0,240.0,0.0,-15.112635481719312,9.942789875785686e-39,0.4,0.2,0.8,False,300.0,0.4,761.0,79.73273520571749,79.82836897030924,0.09563376459175181,0.2851944022015992,-0.4302513448621809,0.627245530584016,0.0998040007698986,188.0,112.0,0.0,5.808057167787805,1.615096636858638e-08,0.7466666666666667,0.6266666666666667,0.37333333333333335,False
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.pfsmb.out.postproc,50.4705293197736,66.56996240979133,86.06755058942157,79.58569408215183,300.0,0.4,761.0,52.95093158353069,50.47418209253485,-2.476749490995832,1.091055854802742,-4.364499206152136,-0.3159748720777227,-2.5041716315836986,5.0,295.0,0.0,-39.3183899535622,3.5522423564019935e-120,0.03333333333333333,0.016666666666666666,0.9833333333333333,True,300.0,0.4,761.0,86.6699740134385,86.07341187369964,-0.5965621397388752,0.36096360239143827,-1.3476252964111601,0.05556346953855484,-0.5817400093304226,10.0,290.0,0.0,-28.625488250176126,1.1946885763767045e-87,0.06666666666666667,0.03333333333333333,0.9666666666666667,False,300.0,0.4,761.0,79.73273520571749,79.58444590808476,-0.1482892976327259,0.2836110399639818,-0.6334489194306717,0.42329490899491695,-0.14446775640670206,89.0,211.0,0.0,-9.056227068988688,1.7952081537148394e-17,0.5933333333333334,0.2966666666666667,0.7033333333333334,False
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.rocsmt.out.postproc,47.309122498278114,63.975303156855,83.54298719346961,78.93473119421085,300.0,0.4,761.0,52.95093158353069,47.35834360864202,-5.592587974888661,1.1729364875987778,-7.8792688267232585,-3.3029811818203116,-5.6260159253351425,0.0,300.0,0.0,-82.5845782846801,7.034928429618413e-208,0.0,0.0,1.0,True,300.0,0.4,761.0,86.6699740134385,83.56575687886904,-3.1042171345694882,0.46986452243954074,-4.046019094160289,-2.1816175626823373,-3.1015353196553908,0.0,300.0,0.0,-114.43004393871989,6.487439660070002e-249,0.0,0.0,1.0,True,300.0,0.4,761.0,79.73273520571749,78.93178399407805,-0.8009512116394172,0.31298620846783465,-1.378401530595711,-0.19340200959147621,-0.8018729858266849,1.0,299.0,0.0,-44.324259517201504,1.834117440522541e-133,0.006666666666666667,0.0033333333333333335,0.9966666666666667,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.footweets.out.postproc,51.67085720384783,67.61442259339601,86.17340214589667,79.67003822389336,300.0,0.4,761.0,52.95093158353069,51.683312496683634,-1.2676190868470458,1.0826947807355667,-3.460087889256375,0.9738454185530375,-1.2682423538908267,34.0,266.0,0.0,-20.27885145591543,4.072671513290599e-58,0.22666666666666666,0.11333333333333333,0.8866666666666667,False,300.0,0.4,761.0,86.6699740134385,86.18259131023355,-0.4873827032049761,0.360142645759825,-1.1710853047385037,0.14431633348925707,-0.47483854632183187,18.0,282.0,0.0,-23.439923447562208,1.1016884341224764e-69,0.12,0.06,0.94,False,300.0,0.4,761.0,79.73273520571749,79.67226193523491,-0.06047327048257367,0.2755079241565242,-0.5376365889505105,0.46625703553646025,-0.06096433559322767,127.0,173.0,0.0,-3.801806329031952,0.00017410511627684248,0.8466666666666667,0.42333333333333334,0.5766666666666667,False
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.default.out.postproc,39.326858007757096,56.34851254815953,77.85616236436255,76.75019491044756,300.0,0.4,761.0,52.95093158353069,39.4152030238711,-13.535728559659587,1.3750934475445173,-16.195964272177456,-10.937629647986153,-13.533022330453147,0.0,300.0,0.0,-170.494373488988,6.808492987851204e-300,0.0,0.0,1.0,True,300.0,0.4,761.0,86.6699740134385,77.88603069749101,-8.783943315947521,0.5765962315897653,-9.877446065222383,-7.648123704709612,-8.813669167351318,0.0,300.0,0.0,-263.8629127366673,0.0,0.0,0.0,1.0,True,300.0,0.4,761.0,79.73273520571749,76.76346684427727,-2.969268361440208,0.3404282251588196,-3.6346055322501707,-2.288983445345336,-2.969486224275386,0.0,300.0,0.0,-151.0721874169484,2.281076847447973e-284,0.0,0.0,1.0,True
google/gemma-2-9b-it,test.fr-en.fr.mmtc.out.postproc,56.57358559556233,70.04317236761925,86.57027293078907,80.60494741712834,300.0,0.4,761.0,52.95093158353069,56.5585854836418,3.6076539001111207,1.1640004398087145,1.2800126670638685,5.699852766238112,3.6366170206520074,300.0,0.0,0.0,53.68245266422188,1.4742379372718077e-155,0.0,1.0,0.0,True,300.0,0.4,761.0,86.6699740134385,86.55390984404782,-0.11606416939070412,0.44011060998285073,-1.013132336594741,0.6344032052625295,-0.12775620790724806,111.0,189.0,0.0,-4.5676935243804575,7.218000358436031e-06,0.74,0.37,0.63,False,300.0,0.4,761.0,79.73273520571749,80.62170317231227,0.8889679665947715,0.2591616672899365,0.3818688594519515,1.3580253144601382,0.9082914240726825,300.0,0.0,0.0,59.41224643846572,1.336572181660407e-167,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.pfsmb.out.postproc,54.46959338406865,68.7414745140299,86.21645394152522,80.27824262151206,300.0,0.4,761.0,52.95093158353069,54.451580055391204,1.5006484718605122,1.216178953962986,-0.9407668768805377,3.7413599816727037,1.497673809938835,272.0,28.0,0.0,21.371849834215332,3.6893208776050154e-62,0.18666666666666668,0.9066666666666666,0.09333333333333334,False,300.0,0.4,761.0,86.6699740134385,86.19306696679212,-0.4769070466463892,0.46507393862716373,-1.3706067675399094,0.3417060851228356,-0.4879448773356554,48.0,252.0,0.0,-17.761202395418866,1.0969151616340329e-48,0.32,0.16,0.84,False,300.0,0.4,761.0,79.73273520571749,80.28180247714944,0.5490672714319661,0.27004934829774946,0.010789883923907102,1.0428031385140772,0.5486034689062391,292.0,8.0,0.0,35.216245359896774,2.1047762315524936e-108,0.05333333333333334,0.9733333333333334,0.02666666666666667,True
google/gemma-2-9b-it,test.fr-en.fr.rocsmt.out.postproc,54.57147413302072,68.37886181996386,85.40317682719757,80.29377242681481,300.0,0.4,761.0,52.95093158353069,54.502045564224986,1.5511139806942995,1.1139727477272916,-0.9638607249671709,3.8331276768108062,1.5976216780495953,278.0,22.0,0.0,24.117360396599558,4.1498574356565085e-72,0.14666666666666667,0.9266666666666666,0.07333333333333333,False,300.0,0.4,761.0,86.6699740134385,85.36859262725841,-1.3013813861801184,0.4781868267505344,-2.3095434944239637,-0.4169689835527694,-1.276867718248581,0.0,300.0,0.0,-47.137615567655544,1.8613524906548429e-140,0.0,0.0,1.0,True,300.0,0.4,761.0,79.73273520571749,80.30332187444715,0.5705866687296783,0.2657465406972258,0.07258191910351264,1.053623366273655,0.5761546664106387,294.0,6.0,0.0,37.18901091876346,3.605108818378671e-114,0.04,0.98,0.02,True
google/gemma-2-9b-it,test.fr-en.fr.footweets.out.postproc,56.73278476367177,70.12939461367078,86.4220854094728,80.49993995894394,300.0,0.4,761.0,52.95093158353069,56.68967011964747,3.7387385361167813,1.1411694946371178,1.4653370220971795,5.891332680452444,3.709246287570128,300.0,0.0,0.0,56.74604106753805,4.0175626685230127e-162,0.0,1.0,0.0,True,300.0,0.4,761.0,86.6699740134385,86.38806594684361,-0.2819080665949092,0.4581400562431699,-1.23156982274547,0.5292217480447028,-0.26497394433943056,83.0,217.0,0.0,-10.657856429535304,1.0787589349125698e-22,0.5533333333333333,0.27666666666666667,0.7233333333333334,False,300.0,0.4,761.0,79.73273520571749,80.51146981633133,0.7787346106138454,0.2634679013557425,0.2562752068434443,1.2635466702155234,0.7979419518081066,299.0,1.0,0.0,51.194392343617764,5.347197060124302e-150,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True
