model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,raw.en.test.out.postproc,21.63705645229304,44.091135575383255,73.81930184123792,76.23374701172294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.footweets.out.postproc,19.99213286118873,42.5583511297772,74.26865869641897,76.2671958401824,300.0,0.4,724.0,21.643277172493956,20.023885703960442,-1.6193914685335138,0.5421065936950779,-2.5829262134217954,-0.5494507405653637,-1.5873331786807672,0.0,300.0,0.0,-51.74016205420468,3.092604269437039e-151,0.0,0.0,1.0,True,300.0,0.4,724.0,73.79657953310051,74.29312513547076,0.496545602370253,0.4905750373598767,-0.4689488573339426,1.4270609207142573,0.49297134932233533,255.0,45.0,0.0,17.531308078956744,8.052646920868806e-48,0.3,0.85,0.15,False,300.0,0.4,724.0,76.22296166304724,76.2910997847414,0.06813812169416193,0.41066563285756597,-0.6759959649685678,0.8562668215339294,0.06969650764820923,175.0,125.0,0.0,2.8738389400978397,0.004345806946355845,0.8333333333333334,0.5833333333333334,0.4166666666666667,False
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.rocsmt.out.postproc,20.547086064985663,43.21473037427798,74.91198266043459,76.66750536102033,300.0,0.4,724.0,21.643277172493956,20.569929507985677,-1.0733476645082782,0.5430499700794817,-2.2190279867347176,-0.17792471240117724,-1.0330727754771267,5.0,295.0,0.0,-34.234283980194895,1.8538486333049174e-105,0.03333333333333333,0.016666666666666666,0.9833333333333333,True,300.0,0.4,724.0,73.79657953310051,74.93013483736642,1.1335553042659228,0.45416149263217903,0.21694756961988582,2.0223765306751087,1.14811413833944,297.0,3.0,0.0,43.230776101220336,1.176827494142747e-130,0.02,0.99,0.01,True,300.0,0.4,724.0,76.22296166304724,76.69141716006492,0.4684554970176619,0.3978828721846538,-0.24741178152063611,1.2647898757614133,0.4430861330658009,262.0,38.0,0.0,20.392652678524026,1.5385967141381136e-58,0.25333333333333335,0.8733333333333333,0.12666666666666668,False
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.mmtc.out.postproc,19.871476088693132,42.5477364344892,74.23728040448864,76.12461703399586,300.0,0.4,724.0,21.643277172493956,19.89998890152915,-1.7432882709648034,0.5304730323424242,-2.7603642121335996,-0.7234160538982078,-1.7274315229219699,0.0,300.0,0.0,-56.920214100551185,1.7362493721013925e-162,0.0,0.0,1.0,True,300.0,0.4,724.0,73.79657953310051,74.26070791797827,0.4641283848777441,0.49525993077671626,-0.5132447851008746,1.3324857313823986,0.4471286215423198,249.0,51.0,0.0,16.231758191751716,6.306579119906396e-43,0.34,0.83,0.17,False,300.0,0.4,724.0,76.22296166304724,76.14997942434216,-0.07298223870509639,0.42983376626093567,-0.8287195664784244,0.826062947120621,-0.0630610843719015,128.0,172.0,0.0,-2.940879833312321,0.0035284356832781688,0.8533333333333334,0.4266666666666667,0.5733333333333334,False
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.default.out.postproc,20.418100747179736,43.17367476883675,74.82534220381426,76.91612535415267,300.0,0.4,724.0,21.643277172493956,20.442626449885285,-1.2006507226086676,0.5409974287365028,-2.275058512991291,-0.2796879104800337,-1.1472478960327788,3.0,297.0,0.0,-38.43988794104564,1.004017708725395e-117,0.02,0.01,0.99,True,300.0,0.4,724.0,73.79657953310051,74.82905914352497,1.0324796104244551,0.48339687417948096,0.041742725091997196,1.9951169898229242,1.0511505937214005,293.0,7.0,0.0,36.994594681017624,1.3074907026098992e-113,0.04666666666666667,0.9766666666666667,0.023333333333333334,True,300.0,0.4,724.0,76.22296166304724,76.9269224271096,0.7039607640623389,0.38606372063937183,-0.03405001837740201,1.4618246690550192,0.7003750096368555,291.0,9.0,0.0,31.58276068706133,2.985764957462214e-97,0.06,0.97,0.03,False
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.pfsmb.out.postproc,19.964528477308228,42.42391349670376,73.8993850818255,76.23412451274886,300.0,0.4,724.0,21.643277172493956,19.998155349776308,-1.6451218227176483,0.5345813124963291,-2.668275818594973,-0.7159105430935631,-1.5831116932493927,0.0,300.0,0.0,-53.30217340148516,1.0107925956350719e-154,0.0,0.0,1.0,True,300.0,0.4,724.0,73.79657953310051,73.90367566969101,0.10709613659050392,0.49044434722916713,-0.808255543458938,1.036221051578361,0.09619990435753012,182.0,118.0,0.0,3.7822018118278655,0.0001877243315011014,0.7866666666666666,0.6066666666666667,0.3933333333333333,False,300.0,0.4,724.0,76.22296166304724,76.23637677538407,0.013415112336806367,0.40501170130698566,-0.695572087736751,0.8346853983583356,0.04399036834253356,160.0,140.0,0.0,0.5737033295978974,0.5665998483437984,0.9333333333333333,0.5333333333333333,0.4666666666666667,False
google/gemma-2-9b-it,raw.en.test.footweets.out.postproc,22.369663862684117,45.34969881153932,75.98863300069911,78.16101543115212,300.0,0.4,724.0,21.643277172493956,22.368761253273295,0.7254840807793421,0.5297895674923239,-0.34842221017254127,1.6727663829637922,0.7399123416377389,275.0,25.0,0.0,23.718384904029477,1.1042257377501892e-70,0.16666666666666666,0.9166666666666666,0.08333333333333333,False,300.0,0.4,724.0,73.79657953310051,75.9804609529331,2.1838814198325904,0.40579062384300146,1.4394688713287136,3.023530376961875,2.193758068657714,300.0,0.0,0.0,93.21540111087369,5.133942661468354e-223,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.17590854514533,1.9529468820980902,0.35525621121396234,1.2561336947985822,2.6123100170320246,1.9441336208120885,300.0,0.0,0.0,95.21587849845804,1.1033890764512034e-225,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.rocsmt.out.postproc,23.388078546226833,46.19421613844696,76.98564051494472,78.62435498575007,300.0,0.4,724.0,21.643277172493956,23.376319891796122,1.7330427193021687,0.5500807158697927,0.6012651325427865,2.767619523107932,1.7470307025276863,299.0,1.0,0.0,54.56868337535412,1.732273807063749e-157,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True,300.0,0.4,724.0,73.79657953310051,76.98188297580893,3.1853034427084204,0.41506938941878524,2.350352416792631,4.029016349032437,3.202208325019862,300.0,0.0,0.0,132.92012229619144,5.457296635099143e-268,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.63743453006336,2.4144728670160855,0.34872044698701493,1.727291303506708,3.06540810600829,2.4208401695140824,300.0,0.0,0.0,119.92384488208904,7.116307376248965e-255,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.mmtc.out.postproc,22.56808221786391,45.51594055259873,76.1457200238822,78.22601300468096,300.0,0.4,724.0,21.643277172493956,22.564308327411283,0.9210311549173226,0.5346367439759272,-0.11179061626310104,1.8981824980544102,0.8972946859289266,284.0,16.0,0.0,29.83844215059176,1.205390745222048e-91,0.10666666666666667,0.9466666666666667,0.05333333333333334,False,300.0,0.4,724.0,73.79657953310051,76.12996683878957,2.333387305689067,0.4096839235360671,1.5798358873911809,3.1984190928919505,2.3363588470451058,300.0,0.0,0.0,98.65032858273514,3.8271691286848677e-230,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.23807016795786,2.0151085049106054,0.3599456458418003,1.2882674844595967,2.744933179893541,2.0112972418412314,300.0,0.0,0.0,96.96659352849446,5.63360686967872e-228,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.default.out.postproc,23.691025553012047,46.23993353639344,76.93918841675278,78.62264320229613,300.0,0.4,724.0,21.643277172493956,23.708197494570594,2.0649203220766394,0.5285622649771151,1.0863962902877993,3.054692160374139,2.0614450044457033,300.0,0.0,0.0,67.66557411307221,2.5293212741697008e-183,0.0,1.0,0.0,True,300.0,0.4,724.0,73.79657953310051,76.92000538950467,3.1234258564041575,0.43116852824895385,2.275522920092089,3.9843901412468914,3.1062557377456335,300.0,0.0,0.0,125.47140903203106,1.2422044602670812e-260,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.61723825785558,2.394276594808308,0.353125544208906,1.749019180604602,3.1209393791360425,2.3904935554575513,300.0,0.0,0.0,117.43723379942338,3.286206453514648e-252,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.pfsmb.out.postproc,21.41334022846925,44.44624309378364,75.06562285392965,77.75719994797502,300.0,0.4,724.0,21.643277172493956,21.422007532376302,-0.22126964011765182,0.5399137177799243,-1.2015169278481428,0.7816693318213785,-0.2052557717101653,107.0,193.0,0.0,-7.098361205418963,9.217058832036645e-12,0.7133333333333334,0.3566666666666667,0.6433333333333333,False,300.0,0.4,724.0,73.79657953310051,75.05245735960057,1.2558778265000599,0.42398963068263124,0.4394892583606277,2.0732382481187104,1.2496905308731376,299.0,1.0,0.0,51.30418402202646,3.007992425316428e-150,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True,300.0,0.4,724.0,76.22296166304724,77.77589317490768,1.5529315118604163,0.36860964705167154,0.835644951429817,2.3087312992229982,1.5510716820290038,300.0,0.0,0.0,72.970316993357,1.446888443974635e-192,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.footweets.out.postproc,21.85422222082637,44.52598485800149,75.90701646769224,78.48368559903767,300.0,0.4,724.0,21.643277172493956,21.843179151061552,0.19990197856759592,0.5326183035508951,-0.9377222430122075,1.1684644996071074,0.2414049583867186,199.0,101.0,0.0,6.50072258321358,3.3445872836120045e-10,0.6733333333333333,0.6633333333333333,0.33666666666666667,False,300.0,0.4,724.0,73.79657953310051,75.84951171579448,2.052932182693954,0.4023125189999833,1.266891390126384,2.8726840893434415,2.0478007954787216,300.0,0.0,0.0,88.38359924164696,2.4031395081013578e-216,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.4881540297035,2.2651923666562386,0.3449024276060424,1.535505678257727,2.889267751195817,2.2551533946180813,300.0,0.0,0.0,113.75473043777033,3.66000043058471e-248,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.rocsmt.out.postproc,21.930381476766797,44.559834914178744,76.00196786451366,78.53583294657332,300.0,0.4,724.0,21.643277172493956,21.918322870689217,0.2750456981952582,0.52952820885621,-0.8426977631022434,1.2742830723596035,0.3148804003572483,209.0,91.0,0.0,8.9965579870893,2.7550167432377977e-17,0.6066666666666667,0.6966666666666667,0.30333333333333334,False,300.0,0.4,724.0,73.79657953310051,75.94969631086616,2.153116777765652,0.4122025474629161,1.3322344211377808,3.0023912752036854,2.1183658638217806,300.0,0.0,0.0,90.47269786838484,2.858631733332437e-219,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.5362305042658,2.3132688412185534,0.35076029813477466,1.596359351845406,2.9321272836905514,2.326004139214594,300.0,0.0,0.0,114.22898161116854,1.0847946323811888e-248,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.mmtc.out.postproc,21.85658557627292,44.55638051990841,75.91449520481166,78.51886464259188,300.0,0.4,724.0,21.643277172493956,21.848937439243162,0.20566026674920973,0.5463746930401603,-0.926815604907535,1.1760481556037576,0.23683678913891804,202.0,98.0,0.0,6.519592427052923,2.996162868533504e-10,0.6533333333333333,0.6733333333333333,0.32666666666666666,False,300.0,0.4,724.0,73.79657953310051,75.86943504807041,2.0728555149698904,0.4095713669543127,1.279668468179295,2.937494603793513,2.051276543810554,300.0,0.0,0.0,87.65971838743536,2.565315446528854e-215,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.5275610516304,2.3045993885831506,0.3492605047913228,1.590047745826501,2.951755515037321,2.3070185882610508,300.0,0.0,0.0,114.28956831243055,9.290266226660791e-249,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.default.out.postproc,22.159973867687118,44.776595200227284,75.92859957562817,78.75734851497388,300.0,0.4,724.0,21.643277172493956,22.167846347580085,0.5245691750861278,0.5402491901072336,-0.6640357664196145,1.5247194065111327,0.5387535541545247,248.0,52.0,0.0,16.81780333910957,3.9240606232233235e-45,0.3466666666666667,0.8266666666666667,0.17333333333333334,False,300.0,0.4,724.0,73.79657953310051,75.88613741106009,2.0895578779595776,0.40013661083152585,1.1848832672533869,2.8672625027720424,2.0893882177976,300.0,0.0,0.0,90.44961925530073,3.076967420486625e-219,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.76555464597861,2.5425929829313607,0.3648031261589944,1.8474474281731224,3.260650595351639,2.5315527469743024,300.0,0.0,0.0,120.71991475988189,1.0243361694906392e-255,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,raw.en.test.pfsmb.out.postproc,21.8946338874177,44.63078431492949,75.84805522523841,78.55228737548545,300.0,0.4,724.0,21.643277172493956,21.89448888546141,0.25121171296745376,0.5273973959627896,-0.8234526781288213,1.159387920860477,0.26929618406471434,207.0,93.0,0.0,8.250163039233861,5.096370018396919e-15,0.62,0.69,0.31,False,300.0,0.4,724.0,73.79657953310051,75.8011389333158,2.0045594002152787,0.4076994781560258,1.2059227926708092,2.8231555269773825,2.0029237051365776,300.0,0.0,0.0,85.16073514898959,1.0486070747744902e-211,0.0,1.0,0.0,True,300.0,0.4,724.0,76.22296166304724,78.55984731889836,2.3368856558511055,0.3546299483303116,1.6680251837846982,3.006193931034419,2.3451239652725886,300.0,0.0,0.0,114.13600871754316,1.376316613740574e-248,0.0,1.0,0.0,True
